,fucci_time,cell
679,0.595,1089
680,0.595,867
681,0.596,1108
682,0.597,1119
683,0.598,1094
684,0.599,1042
685,0.6,594
686,0.601,1109
687,0.602,249
688,0.602,1105
689,0.603,901
690,0.604,453
691,0.605,562
692,0.606,1083
693,0.607,1100
694,0.609,1088
695,0.609,622
696,0.61,1081
697,0.611,1015
698,0.612,206
699,0.613,422
700,0.614,157
701,0.615,877
702,0.616,1112
703,0.616,244
704,0.617,876
705,0.618,1103
706,0.619,316
707,0.62,1139
708,0.621,897
709,0.623,565
710,0.623,1097
711,0.624,629
712,0.625,1115
713,0.626,667
714,0.627,1132
715,0.628,169
716,0.629,1147
717,0.63,1064
718,0.63,1138
719,0.631,1099
720,0.632,1067
721,0.633,1092
722,0.634,266
723,0.635,5
724,0.636,1082
725,0.636,1078
726,0.637,1118
727,0.638,1102
728,0.639,1085
729,0.64,1117
730,0.6409999999999999,105
731,0.642,1012
732,0.643,749
733,0.643,1135
734,0.644,1079
735,0.645,871
736,0.6459999999999999,1111
737,0.647,425
738,0.648,1129
739,0.649,1106
740,0.65,1090
741,0.65,1071
742,0.6509999999999999,508
743,0.652,1076
744,0.653,1128
745,0.654,925
746,0.655,712
747,0.6559999999999999,873
748,0.657,793
749,0.657,785
750,0.6579999999999999,924
751,0.659,574
752,0.66,605
753,0.6609999999999999,315
754,0.662,587
755,0.6629999999999999,250
756,0.664,391
757,0.664,204
758,0.665,124
759,0.6659999999999999,661
760,0.667,590
761,0.6679999999999999,293
762,0.669,417
763,0.67,534
764,0.6709999999999999,687
765,0.6709999999999999,374
766,0.672,17
767,0.6729999999999999,521
768,0.674,32
769,0.675,331
770,0.6759999999999999,389
771,0.677,872
772,0.6779999999999999,900
773,0.6779999999999999,704
774,0.679,869
775,0.68,559
776,0.6809999999999999,833
777,0.682,820
778,0.6829999999999999,825
779,0.684,809
780,0.684,702
781,0.685,772
782,0.6859999999999999,866
783,0.687,195
784,0.688,738
785,0.6890000000000001,917
786,0.69,265
787,0.691,472
788,0.691,18
789,0.6920000000000001,741
790,0.693,851
791,0.6940000000000001,95
792,0.695,891
793,0.696,865
794,0.6970000000000001,541
795,0.698,829
796,0.698,834
797,0.6990000000000001,554
798,0.7,708
799,0.701,830
800,0.7020000000000001,656
801,0.703,909
802,0.7040000000000001,880
803,0.705,185
804,0.705,518
805,0.706,913
806,0.7070000000000001,920
807,0.708,734
808,0.7090000000000001,558
809,0.71,863
810,0.711,814
811,0.7120000000000001,717
812,0.7120000000000001,165
813,0.713,130
814,0.7140000000000001,776
815,0.715,636
816,0.716,369
817,0.7170000000000001,296
818,0.718,493
819,0.7190000000000001,852
820,0.7190000000000001,456
821,0.72,132
822,0.721,323
823,0.722,856
824,0.723,804
825,0.7240000000000001,724
826,0.725,681
827,0.726,394
828,0.726,537
829,0.727,40
830,0.728,762
831,0.7290000000000001,497
832,0.73,526
833,0.731,746
834,0.732,180
835,0.732,815
836,0.733,483
837,0.7340000000000001,474
838,0.735,907
839,0.736,705
840,0.737,435
841,0.738,853
842,0.7390000000000001,611
843,0.7390000000000001,616
844,0.74,655
845,0.741,615
846,0.742,652
847,0.743,906
848,0.7440000000000001,23
849,0.745,645
850,0.746,761
851,0.746,581
852,0.747,686
853,0.748,729
854,0.7490000000000001,628
855,0.75,842
856,0.7509999999999999,767
857,0.752,209
858,0.753,510
859,0.753,571
860,0.754,86
861,0.755,835
862,0.7559999999999999,400
863,0.757,109
