,well_plate,does_vary_cell,does_vary_nuc,does_vary_cyto,does_perc_vary_cell,does_perc_vary_nuc,does_perc_vary_cyto
547,B11_55195978,False,False,False,False,False,False
548,B11_55205980,True,True,False,False,False,False
549,B11_55215982,False,False,False,False,False,False
550,B11_55225983,False,False,False,False,False,False
551,B11_55235979,False,True,False,True,True,False
552,B11_55245981,False,False,False,False,False,False
553,B11_55335984,True,False,True,False,False,False
554,B11_55345985,False,False,False,False,False,False
555,B11_55355986,False,False,False,True,True,False
556,B11_55365987,True,True,False,True,True,False
557,B11_55375988,False,False,False,False,False,False
558,B11_55385989,False,False,False,False,False,False
559,B11_55395990,True,True,False,False,True,False
560,B11_6717,False,False,False,False,False,False
561,B11_6718,False,True,False,False,False,False
562,B11_6719,False,False,False,False,False,False
563,B11_6720,False,True,False,False,False,False
564,B11_6722,False,False,False,False,False,False
565,B11_6724,False,False,True,False,False,False
566,B11_6725,False,False,True,False,False,False
567,B11_6731,False,False,True,False,False,False
568,B11_6734,False,False,False,False,False,False
569,B11_6735,False,True,False,False,False,False
570,B11_6736,False,False,False,False,True,False
571,B11_75836284,False,False,False,False,False,False
572,B12_55195978,False,False,False,False,False,False
573,B12_55215982,False,True,False,False,False,False
574,B12_55235979,False,False,True,False,False,False
575,B12_55335984,False,False,True,False,False,False
576,B12_55345985,False,False,False,False,False,False
577,B12_55355986,False,False,False,False,False,False
578,B12_55365987,False,False,False,False,False,False
579,B12_55375988,False,False,False,False,False,False
580,B12_55385989,False,False,False,False,True,False
581,B12_6717,False,False,False,False,False,False
582,B12_6718,False,False,True,False,False,False
583,B12_6719,True,True,True,False,False,False
584,B12_6720,True,True,True,False,False,False
585,B12_6722,False,False,True,False,False,False
586,B12_6725,False,True,False,False,False,False
587,B12_6731,False,False,False,False,False,False
588,B12_6734,True,True,True,False,False,False
589,B12_6735,True,True,True,False,False,False
590,B12_75836284,False,False,True,False,False,False
591,C01_55185977,True,False,True,False,False,False
592,C01_55205980,True,True,True,True,True,False
593,C01_55225983,False,False,False,False,False,False
594,C01_55235979,False,True,False,True,True,False
595,C01_55245981,False,False,False,False,False,False
596,C01_55335984,True,True,False,True,True,False
597,C01_55345985,False,False,False,False,False,False
598,C01_55355986,False,False,False,False,False,False
599,C01_55365987,False,False,False,False,False,False
600,C01_55375988,False,False,False,False,False,False
601,C01_55385989,False,True,False,False,False,False
602,C01_55395990,True,True,False,True,True,False
603,C01_55405991,False,False,False,False,False,False
604,C01_6717,False,True,False,False,True,False
605,C01_6718,True,True,False,True,True,False
606,C01_6719,False,False,False,False,False,False
607,C01_6720,False,True,False,False,False,False
608,C01_6721,False,False,False,False,False,False
609,C01_6722,False,False,False,False,False,False
610,C01_6724,False,False,False,False,True,False
611,C01_6725,False,True,False,False,False,False
612,C01_6731,False,False,False,False,False,False
613,C01_6734,True,False,False,False,False,False
614,C01_6735,True,True,True,False,False,False
615,C01_6736,False,False,False,False,True,False
616,C01_6745,True,True,True,False,False,False
617,C01_75836284,False,False,False,False,False,False
618,C01_75846286,False,False,False,False,False,False
