,0
1211,FAM76B
1212,TMEM80
1213,TRAPPC5
1214,FAM72A
1215,SPOP
1216,ARHGAP25
1217,IFRD1
1218,DYSF
1219,CHST8
1220,SALL1
1221,C1orf226
1222,RQCD1
1223,SEPT2
1224,GMPR2
1225,NAPB
1226,SPIDR
1227,RALGAPB
1228,VPS45
1229,RNF182
1230,DTYMK
1231,TCF7L2
1232,SP110
1233,DDX11
1234,GPS1
1235,CDK18
1236,DGCR8
1237,ECM1
1238,RASA1
1239,PNKD
1240,ZMAT3
1241,RNF165
1242,NETO1
1243,LYSMD4
1244,FAM161B
1245,PTGR2
1246,FBXL14
1247,EFCAB13
1248,CWF19L2
1249,KBTBD3
1250,TPCN2
1251,APOBEC3D
1252,BACE1
1253,FAM69B
1254,C9orf41
1255,NRXN3
1256,MAPK9
1257,ZNF786
1258,CDYL2
1259,OCIAD2
1260,GRPEL2
1261,SMARCC2
1262,NUDT16
1263,COL18A1
1264,TMEM263
1265,AHSA2
1266,TRAM1L1
1267,C4orf32
1268,SCAMP5
1269,KCTD18
1270,VANGL1
1271,MAPK7
1272,ADAMTS17
1273,C1orf216
1274,ZNF684
1275,ADAMTS15
1276,MAPK8
1277,SMARCA2
1278,ZNF573
1279,ZNF440
1280,ZNF441
1281,CLDND2
1282,FAM210A
1283,ANKRD13B
1284,LSM12
1285,TNFRSF25
1286,SPATA2L
1287,DIABLO
1288,C16orf46
1289,FNIP1
1290,YTHDC1
1291,TCEAL2
1292,LRSAM1
1293,SELM
1294,ACYP2
1295,ZNF689
1296,MALSU1
1297,HAUS1
1298,MB21D1
1299,FLYWCH2
1300,VASN
1301,SMIM19
1302,ADPRHL1
1303,CASC4
1304,ADAT3
1305,SAAL1
1306,AHNAK2
1307,MTFR2
1308,FAM195A
1309,PTPN2
1310,RDH13-1
1311,FAM71E1
1312,CMTM7
1313,GTF3C6
1314,HNRNPLL
1315,PTP4A2
1316,ATP8B5P
1317,FRG1B
1318,RPL23AP53
1319,PI4KAP1
1320,ATP1A1-AS1
1321,DPY19L2P2
1322,HSH2D
1323,WHAMMP3
1324,APLP2
1325,PPP4R1L
1326,ZNRF2P1
1327,SAT1
1328,RP9P
1329,ZNF182
1330,RRN3P1
1331,EP400NL
1332,LOC729603
1333,PSPC1
1334,SDHAP2
1335,SDHAP3
1336,EPHX1
1337,EIF4G1
1338,PWARSN
1339,SNHG11
1340,PWAR5
1341,LAMTOR3
1342,TPM3P9
1343,SNHG4
1344,ZNF542P
1345,RPL32P3
1346,CCT6P1
1347,FGF11
1348,ZNF273
1349,NBR2
1350,SNHG1
1351,TMEM255A
1352,PACSIN3
1353,TBC1D16
1354,RIMKLA
1355,ACP6
1356,DNAH1
1357,TRMT5
1358,AARS2
1359,WNK3
1360,NIN
1361,TNIP2
1362,CHD8
1363,ZNF557
1364,THOC6
1365,MYL6
1366,FSD1
1367,ALS2
1368,LZTS1
1369,ZNF576
1370,FBXL15
1371,ZNF343
1372,CRELD2
1373,C19orf57
1374,RBM42
1375,C1orf35
1376,SNRNP48
1377,CCDC112
1378,SH3RF2
1379,BTNL9
1380,MYO5B
1381,C21orf91
1382,KIAA0895
1383,RAP1GDS1
1384,FBN2
1385,MRPL20
1386,NRDE2
1387,PUM2
1388,AKIRIN2
1389,WIPI2
1390,PGM3
1391,CHTOP
1392,GPSM1
1393,EFHD2
1394,SLC27A3
1395,THTPA
1396,PCDHAC2
1397,PCDHAC1
1398,NPHP4
1399,APOBEC3F
1400,CR2
1401,LENG1
1402,RUSC1
1403,DPP10
1404,LARP4
1405,PDPK1
1406,MED6
1407,HYDIN
1408,FAT4
1409,MAP3K7CL
1410,STARD7
1411,PMEPA1
1412,SH3GLB2
1413,PAPOLB
1414,PNO1
1415,TMEM167B
1416,BDH2
1417,ZC3H7B
1418,BTG4
1419,WDR5
1420,CACFD1
1421,ZRANB1
1422,MDM1
1423,KCMF1
1424,SUPT20H
1425,NAGK
1426,PPP1R12C
1427,PCSK4
1428,PARP14
1429,TMEM234
1430,IL17RD
1431,RAB3IP
1432,WDYHV1
1433,PPP2R5C
1434,SHROOM1
1435,SMOC2
1436,MAZ
1437,FGF1
1438,KLHL3
1439,DDX6
1440,SLC25A16
1441,HIPK1
1442,POLR1D
1443,ZNF449
1444,C1GALT1C1
1445,SET
1446,PCBP2
1447,TMEM79
1448,MORN4
1449,TENM4
1450,ZNF419
1451,BEX4
1452,KDM6B
1453,TXNRD2
1454,GAK
1455,DRAP1
1456,RSF1
1457,PCDHA11
1458,GMIP
1459,XRN1
1460,ERGIC2
1461,TADA2B
1462,STAT1
1463,SDR42E1
1464,THAP6
1465,PUS10
1466,TBX3
1467,BCCIP
1468,OARD1
1469,SLC25A40
1470,PEX5L
1471,C20orf24
1472,NSFL1C
1473,NUP62
1474,GOLM1
1475,RC3H2
1476,ICK
1477,NTM
1478,TIPIN
1479,ALKBH5
1480,SDF4
1481,DNAJC27
1482,OSBPL2
1483,SIRT7
1484,INPP5K
1485,MGRN1
1486,CCNYL1
1487,MAP3K13
1488,CNOT4
1489,ODF2
1490,BRD2
1491,ATG9A
1492,TLE3
1493,CTH
1494,DOCK8
1495,SUGCT
1496,MNAT1
1497,CHRNA7-1
1498,FPGS
1499,TOM1L2
1500,PIP5K1C
1501,RAB3GAP1
1502,C1orf204
1503,PTPN3
1504,LINC01133
1505,CDON
1506,LOC730183
1507,FBXO18
1508,IDNK
1509,FAM13A
1510,COX4I1
1511,SLC31A1
1512,COX7C
1513,COX7B
1514,COX6B1
1515,GATA3
1516,GAS1
1517,GARS
1518,CPM
1519,DNAJA3
1520,LDHA
1521,CELF2
1522,AKT1
1523,SUMO1P3
1524,LTBP3
1525,KCNA2
1526,RGMA
1527,ABCA13
1528,CD44
1529,DMTN
1530,APP
1531,C17orf85
1532,HHAT
1533,RABL2B
1534,ZSCAN30
1535,DLGAP1
1536,TUBB3
1537,GFAP
1538,EPDR1
1539,ATG5
1540,C19orf44
1541,AARSD1
1542,PTGES3L
1543,NT5C
1544,OS9
1545,UBE2L3
1546,ZNF768
1547,ANKHD1
1548,TBL1XR1
1549,NAT10
1550,CCDC51
1551,NLRX1
1552,IGFLR1
1553,LPHN2
1554,DLG3
1555,SYBU
1556,C9orf84
1557,BCAR1
1558,MBOAT1
1559,KIAA1644
1560,SLC35G1
1561,SPG21
1562,MAP1LC3B2
1563,ATL2
1564,CCDC173
1565,TBC1D31
1566,DEPDC1B
1567,ZNF611
1568,EPC2
1569,DNM3
1570,WSB1
1571,CCZ1
1572,CCDC69
1573,PYGO1
1574,POLDIP2
1575,STMN3
1576,SCCPDH
1577,GSG1
1578,ANXA11
1579,CTSL
1580,LRTOMT
1581,NEK11
1582,RASGRF1
1583,HMGA1
1584,PHF13
1585,FAM86B1
1586,TAF1L
1587,CACUL1
1588,EIF1AD
1589,DYNC1LI1
1590,COQ7
1591,DLG2
1592,VPS52-2
1593,SLC11A2
1594,INPP5D
1595,ABLIM1
1596,ING1
1597,DBF4
1598,SMPDL3A
1599,RNPS1
1600,SMAD6
1601,HSF1
1602,DNAJC4
1603,LIMK2
1604,IDH3A
1605,TRIM28
1606,LMNA
1607,ANKRD36BP1
1608,ARAP1
1609,ZER1
1610,FBXW2
1611,FDXACB1
1612,ICE2
1613,CCDC127
1614,GLYCTK
1615,NPHP3
1616,DNAJC19
1617,MAP2K3
1618,SFR1
1619,FRA10AC1
1620,IP6K1
1621,SNX33
1622,LINC01535
1623,C20orf96
1624,TMEM151A
1625,SLC22A1
1626,EZH2
1627,WDR31
1628,ZNF549
1629,SYT14
1630,LRRC57
1631,PKP3
1632,ZNF625
1633,EFCAB11
1634,MRPL30
1635,VTI1A
1636,SENP8
1637,CSNK1A1L
1638,ATP2C1
1639,SRSF2
1640,KCNAB2
1641,ARHGEF26
1642,LIN7A
1643,FADD
1644,PABPC4
1645,CDC23
1646,RASAL1
1647,PTPRS
1648,SOCS4
1649,ASB16
1650,CBX6
1651,SPSB3
1652,PLCD3
1653,PFN4
1654,SGSM1
1655,PURB
1656,GABRG3
1657,PSIP1
1658,SCAMP4
1659,CCDC102A
1660,OVCA2
