protein_name,median_melting_point,transcript_reg,nontranscr_reg
AP2B1,49.855000000000004,False,False
AP2M1,51.38,False,False
AP2S1,51.41,False,False
AP3B1,49.45,False,False
AP3D1,49.81,False,False
AP3M1,49.17,False,False
AP3M2,49.98,False,False
AP3S1,49.56,False,False
AP3S2,51.39,False,False
AP4B1,47.605000000000004,False,False
AP4E1,47.13,False,False
AP4M1,52.515,False,False
AP4S1,50.315,False,False
AP5M1,50.47,False,False
AP5S1,51.6,False,False
AP5Z1,51.1,False,False
APAF1,47.5,False,False
APBA1,50.269999999999996,False,False
APBA2,49.260000000000005,False,False
APBB1,52.095,False,False
APBB1IP,54.78,False,False
APBB2,50.18,False,False
APC,54.2,False,False
APEH,66.1,False,False
APEX1,49.14,False,True
APEX2,49.37,False,False
APH1A,50.63,False,False
API5,53.135000000000005,False,False
APITD1,51.16,False,False
APLF,51.120000000000005,False,False
APLP2,51.105,False,False
APMAP,57.93,False,False
APOA1,63.16,False,False
APOA1BP,63.519999999999996,False,False
APOA2,51.68,False,False
APOB,51.12,False,False
APOBEC3C,49.97,False,False
APOBEC3F,48.36,False,False
APOE,51.71,False,False
APOH,51.47,False,False
APOL1,51.515,False,False
APOL2,48.61,False,False
APOM,51.42,False,False
APOOL,51.14,False,False
APP,56.185,False,False
APPBP2,52.785,False,False
APPL1,49.55,False,True
APPL2,47.14,False,False
APRT,59.57,False,False
APTX,47.334999999999994,False,False
AQR,44.735,False,False
ARAF,47.599999999999994,False,False
ARAP1,46.24,False,False
ARAP3,66.64,False,False
ARCN1,49.71,False,False
ARD1A,51.17,False,False
ARF1,58.46,False,False
ARF3,51.99,False,False
ARF4,49.62,False,False
ARF5,52.92,False,False
ARF6,50.56,False,False
ARFGAP1,48.0,False,False
ARFGAP2,48.89,False,False
ARFGAP3,51.205,False,False
ARFGEF1,48.61,False,False
ARFGEF2,49.0,False,False
ARFGEF3,51.565,False,False
ARFIP1,49.27,False,False
ARFIP2,49.8,False,False
ARFRP1,50.97,False,False
ARG1,49.89,False,False
ARG2,51.5,False,False
ARGLU1,48.61,False,False
ARHGAP1,50.8,False,False
ARHGAP10,53.635000000000005,False,False
ARHGAP12,50.405,False,False
ARHGAP17,47.37,False,False
ARHGAP18,48.52,False,False
ARHGAP19,51.54,False,False
