,well_plate,ENSG,in_firstbatch,in_secondbatch,is_variable,is_variable_comp,is_dianaccd,is_newccd
1137,D06_55335984,ENSG00000107742,True,False,True,False,False,False
1138,D06_55345985,ENSG00000108344,True,False,True,True,True,False
1139,D06_55355986,ENSG00000086544,True,False,True,True,False,False
1140,D06_55365987,ENSG00000119950,True,True,True,False,False,False
1141,D06_55375988,ENSG00000198585,True,True,True,True,False,True
1142,D06_55385989,ENSG00000038382,True,False,True,True,False,False
1143,D06_55395990,ENSG00000160075,True,False,True,True,False,False
1144,D06_55405991,ENSG00000130725,True,False,True,True,True,False
1145,D06_6717,ENSG00000071462,False,True,True,True,False,True
1146,D06_6718,ENSG00000125970,False,True,True,True,False,False
1147,D06_6719,ENSG00000204463,False,True,True,True,False,True
1148,D06_6720,ENSG00000107816,True,True,True,True,False,False
1149,D06_6721,ENSG00000132153,False,True,True,True,False,False
1150,D06_6722,ENSG00000186625,False,True,True,True,False,False
1151,D06_6724,ENSG00000139428,False,True,True,True,False,False
1152,D06_6725,ENSG00000100023,False,True,True,True,False,False
1153,D06_6731,ENSG00000163541,False,True,True,True,False,False
1154,D06_6734,ENSG00000240972,True,True,True,True,False,False
1155,D06_6735,ENSG00000125779,False,True,True,True,False,False
1156,D06_6736,ENSG00000175806,False,True,True,True,False,False
1157,D06_6745,ENSG00000165556,False,True,True,True,False,False
1158,D06_75836284,ENSG00000179044,True,False,True,True,False,False
1159,D06_75846286,ENSG00000269699,True,False,True,True,False,True
1160,D07_55195978,ENSG00000112276,True,False,True,True,True,True
1161,D07_55205980,ENSG00000171759,True,False,True,True,False,False
1162,D07_55215982,ENSG00000004866,True,False,True,True,False,False
1163,D07_55225983,ENSG00000102981,True,False,True,False,False,False
1164,D07_55235979,ENSG00000172716,True,True,False,False,False,False
1165,D07_55245981,ENSG00000189241,True,False,True,False,False,False
1166,D07_55335984,ENSG00000148344,True,False,True,True,False,False
1167,D07_55345985,ENSG00000117525,True,False,True,False,False,False
1168,D07_55355986,ENSG00000165264,True,False,True,True,False,False
1169,D07_55365987,ENSG00000239779,True,False,True,True,False,False
1170,D07_55375988,ENSG00000135414,True,True,True,False,False,False
1171,D07_55385989,ENSG00000104332,True,False,True,True,True,True
1172,D07_55395990,ENSG00000084453,True,False,True,True,False,False
1173,D07_55405991,ENSG00000176731,True,False,True,True,True,False
1174,D07_6717,ENSG00000100060,True,True,True,True,False,False
1175,D07_6718,ENSG00000140986,False,True,True,True,False,False
1176,D07_6719,ENSG00000164400,False,True,True,True,False,False
1177,D07_6720,ENSG00000184640,True,True,True,True,False,False
1178,D07_6721,ENSG00000107625,False,True,True,True,False,False
1179,D07_6722,ENSG00000128908,False,True,True,True,False,False
1180,D07_6724,ENSG00000105499,False,True,True,True,False,True
1181,D07_6725,ENSG00000132275,False,True,True,True,False,True
1182,D07_6731,ENSG00000164332,False,True,True,True,False,False
1183,D07_6734,ENSG00000076003,True,True,True,True,False,False
1184,D07_6736,ENSG00000169032,False,True,True,False,False,False
1185,D07_6745,ENSG00000168887,True,True,True,True,False,False
1186,D07_75836284,ENSG00000117394,True,False,True,True,False,False
1187,D08_55195978,ENSG00000076944,True,False,True,False,False,False
1188,D08_55205980,ENSG00000131979,True,False,True,True,True,False
1189,D08_55215982,ENSG00000075089,True,False,True,True,False,False
1190,D08_55225983,ENSG00000221944,True,False,True,True,True,False
1191,D08_55235979,ENSG00000104522,True,False,True,True,False,False
1192,D08_55245981,ENSG00000198901,True,False,True,True,True,True
1193,D08_55335984,ENSG00000140832,True,False,True,False,False,False
1194,D08_55345985,ENSG00000162927,True,False,True,False,False,False
1195,D08_55355986,ENSG00000100867,True,True,True,True,False,False
1196,D08_55365987,ENSG00000136243,True,True,True,True,False,False
1197,D08_55375988,ENSG00000177971,True,False,True,True,False,False
1198,D08_55385989,ENSG00000106829,True,False,True,False,False,False
1199,D08_55395990,ENSG00000042088,True,False,True,True,False,False
1200,D08_55405991,ENSG00000227268,True,False,True,True,True,False
1201,D08_6717,ENSG00000101353,False,True,True,True,False,False
1202,D08_6718,ENSG00000147140,False,True,True,False,False,False
1203,D08_6720,ENSG00000184216,True,True,True,True,False,False
1204,D08_6721,ENSG00000137770,False,True,True,True,False,False
