,well_plate,var_cell_test_p,var_nuc_test_p,var_cyto_test_p,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
772,C04_6745,0.00012110337936730811,8.034207646674653e-12,1.3302550579114148e-06,0.00015394397445376898,1.6375734711528118e-11,2.0146728284261627e-06
773,C04_75836284,1.069272395000136,1.6642106061749669,0.4524809748157534,1.0,1.0,0.47871065785465483
774,C04_75846286,0.0007470885802372386,0.00036181695660105195,0.003127333493756124,0.0009034961940710654,0.00044083251221901384,0.00375769339723757
775,C05_55185977,0.0014627736457444964,0.00028146041791314255,0.0003267650900582687,0.001741587774299535,0.0003450202587658287,0.0004186377086075268
776,C05_55195978,1.3196551154833909,1.5675843328287962,0.1804664038091506,1.0,1.0,0.1961689343654006
777,C05_55205980,3.923975073227267e-05,1.934024870928752e-08,0.1544523884846506,5.1150768428339456e-05,3.0999011282964834e-08,0.16838212373003036
778,C05_55215982,5.52706412267782e-07,1.8269928807436724e-05,2.563063081749874e-06,8.048613733581589e-07,2.3995364243570066e-05,3.780475226951245e-06
779,C05_55225983,2.1060925246032498e-16,1.2192256246588632e-06,6.590648244522159e-20,7.431091326674439e-16,1.723550680013152e-06,4.0874542913176617e-19
780,C05_55235979,2.3652737125529445e-20,2.9783516560710384e-18,2.533750712971764e-16,1.3815950030147065e-19,1.1141083343841663e-17,1.00847913286117e-15
781,C05_55245981,3.7404216553202464e-10,1.637936994080621e-09,3.6551076637422336e-11,6.960970022837608e-10,2.7970264823705043e-09,8.30590610098431e-11
782,C05_55335984,0.8452554976441171,1.9832394279096621,0.6410481200304654,0.8685407730613104,1.0,0.6708523612823829
783,C05_55345985,1.6265889428845745e-14,1.914033661485905e-08,3.619085478887036e-14,4.6876641610062076e-14,3.069743175761485e-08,1.155187308725434e-13
784,C05_55355986,3.492967415983722e-20,8.661255817709303e-30,3.522921484295495e-14,2.0044259171721972e-19,1.2704797157325273e-28,1.1258687876983522e-13
785,C05_55365987,3.0249896092915992e-12,2.6286655574164704e-20,6.873503293731264e-14,6.94046385752229e-12,1.208353128594085e-19,2.123871846145838e-13
786,C05_55375988,0.00760425317192087,0.0018424263322252448,0.34169441865179767,0.008754279114587914,0.0021552756063799795,0.36444613035124335
787,C05_55385989,2.1388147259081634e-61,1.2378959263497885e-45,1.4036754882221369e-66,1.3961113123365537e-58,1.1145331943790682e-43,1.8324983498739997e-63
788,C05_55395990,2.026360109462479e-29,3.142233481404135e-12,2.5847592353031773e-30,4.0082017013685856e-28,6.584567913279452e-12,5.920005581909294e-29
789,C05_55405991,1.0338774906972638e-52,1.6212329910475326e-59,3.7228635142491897e-36,1.6871588301315975e-50,3.848217581477371e-57,2.113129703414051e-34
790,C05_6717,3.1026329645024405e-09,4.5328916157348184e-11,0.0038678177200696983,5.400649780210581e-09,8.65159357359913e-11,0.004626143869492434
791,C05_6718,1.3813889173446103,0.004040739293085994,1.696411504932772,1.0,0.004635487826998036,1.0
792,C05_6719,1.664126091866834e-16,6.565904353551574e-20,5.8284470325792345e-06,5.927739735149118e-16,2.8803064089703083e-19,8.421735031579625e-06
793,C05_6720,9.404866949058777e-13,5.657155628351817e-17,1.7742312302903278e-15,2.2487278025634127e-12,1.8579664585693831e-16,6.5523588999830916e-15
794,C05_6721,3.4925284412157896e-13,2.524423724425375e-16,1.6886862359818476e-15,8.717965353742282e-13,7.611166679531932e-16,6.2541273221966015e-15
795,C05_6722,2.564075259485476e-07,4.08670884903022e-21,6.590282118543096e-08,3.827787594349101e-07,2.0519993855419047e-20,1.1101436523558724e-07
796,C05_6724,5.966571389385687e-22,3.0146835491087377e-28,4.081448834968534e-24,4.339475737517e-21,3.644138308668016e-27,4.331976791911725e-23
797,C05_6725,5.1310420721289355e-18,3.8858810004496676e-16,1.2858687574696222e-20,2.1998605665564286e-17,1.152958555928873e-15,8.812082219824629e-20
798,C05_6731,5.943825245983027e-09,1.1568130160553019e-09,1.0707336841702882e-10,1.0084033604458534e-08,2.0042725845523513e-09,2.3453738669199855e-10
799,C05_6734,2.5966542938240737e-11,4.066905314513705e-20,5.417668875927691e-09,5.368063627216672e-11,1.835976667167652e-19,1.0067995327435731e-08
800,C05_6735,9.019495482512577e-27,6.820919324907609e-23,5.050228102336264e-29,1.2076873181969405e-25,4.122551008642076e-22,9.420916112142272e-28
801,C05_6736,8.39604830886288e-12,2.4926454428006432e-23,1.4413833596184375e-07,1.8360202792664138e-11,1.5912707215531734e-22,2.3580526014810406e-07
802,C05_6745,0.6599779874518561,4.767461981807641e-06,1.7431754095864438,0.6832682494991261,6.51378505206685e-06,1.0
803,C05_75836284,0.04498146628985386,1.4732975604061853,0.0024988483361240714,0.04985000360051292,1.0,0.0030276069631647103
804,C05_75846286,0.010521712470718387,0.5422430752675298,0.0491621351339649,0.01201758147902262,0.5616012175817217,0.05542415148306664
805,C06_55185977,0.0005684280361987177,0.0040884023063840645,0.0002562204779930036,0.0006915962733060819,0.004688106465511108,0.00033134802775618247
806,C06_55215982,6.56970044523648e-05,0.00045121355433128514,3.309930508766485e-05,8.470858203709852e-05,0.0005474528765608669,4.549015517129866e-05
807,C06_55225983,9.437555830776334e-10,1.177660065182083e-05,1.9339663874930462e-10,1.6947357822666443e-09,1.5664138717220674e-05,4.09869012803924e-10
808,C06_55245981,2.316164996809346e-08,1.6868133499212624e-08,9.249342113574441e-09,3.733028893005681e-08,2.717007807923761e-08,1.6821149414094013e-08
809,C06_55335984,0.0004719492605991607,0.1414837975536551,5.687224142545464e-05,0.0005766305659449736,0.15016837211894044,7.705937849603636e-05
810,C06_55345985,1.8988021951246636e-22,5.763460896439898e-22,2.952197512755355e-24,1.4581683916089696e-21,3.2292696138636423e-21,3.225183140503863e-23
811,C06_55355986,8.154968300326205e-13,2.483880862171716e-07,3.8598073293323936e-12,1.9570424845727683e-12,3.697498820484806e-07,9.671743701426947e-12
812,C06_55365987,3.785067891759298e-26,3.391239446541894e-15,8.842011835247637e-26,4.751352050665157e-25,9.320553889390406e-15,1.1316908285211559e-24
813,C06_55375988,3.088921327654364e-08,7.695802399121774e-14,3.563715210605906e-06,4.9328278816547675e-08,1.8350447547129636e-13,5.21280695512158e-06
814,C06_55385989,6.387567336710277e-17,1.145528691387376e-15,2.6760776809669133e-17,2.4382950754606045e-16,3.275986213814281e-15,1.18227391286034e-16
815,C06_55395990,3.2118426560810086e-17,1.1253096011425724e-13,9.067668226424852e-20,1.27837213033956e-16,2.642251230740339e-13,5.531701340933479e-19
816,C06_55405991,8.868786195073486e-30,3.111597734629234e-31,1.5098781095825313e-30,1.8674516738174895e-28,6.0629714068036786e-30,3.583901585563627e-29
817,C06_6717,7.509334606111371e-07,2.2870835030399978e-11,2.454261678961553e-08,1.0826544813118053e-06,4.517076419392916e-11,4.294197245907787e-08
818,C06_6718,2.3441078650840035e-09,4.330087780155629e-12,1.393054883569263e-09,4.124302989039308e-09,9.001480249989128e-12,2.7513360824503373e-09
819,C06_6719,0.08137447745850213,1.2479168520415384e-05,0.7567069234594663,0.08867644434229927,1.6573300613837522e-05,0.7871560865150066
820,C06_6720,2.3109297980327013e-21,3.0867051332334983e-30,9.731995533499852e-16,1.563170389291032e-20,4.8844770320440385e-29,3.698724940024471e-15
821,C06_6721,0.09423341196377161,0.007140729818885203,0.24985393202741307,0.10226244332394334,0.008088696554060418,0.2696852486662156
822,C06_6722,0.26788346109615274,0.8238761881316279,0.12485855523623639,0.28283207315893844,0.8455741852247172,0.13686216948858657
823,C06_6724,6.248862988372877e-07,6.927051664736587e-17,0.0005881268944727278,9.074405596574851e-07,2.2412059351458776e-16,0.0007407618530961371
824,C06_6725,2.9314279699481683e-16,1.206277666596668e-27,4.2288697354139735e-13,1.0151138500709108e-15,1.3517557886196998e-26,1.1872665461468694e-12
825,C06_6731,1.1644280430598089e-08,1.0595902969270434e-16,2.1023759860228547e-10,1.9230370780703104e-08,3.34129259091366e-16,4.4519900239299863e-10
826,C06_6734,1.221160048488139e-18,6.59993319162725e-26,4.73855859049558e-18,5.623366643037973e-18,5.613167935940961e-25,2.3039807224923575e-17
827,C06_6735,1.5060840132157043e-16,6.750674692749454e-17,2.0383791978690644e-12,5.414586135103503e-16,2.1950201273684715e-16,5.2539072908550125e-12
828,C06_6736,0.00026559898548146024,1.3801591704399942e-16,0.739882093839842,0.00032819638007197953,4.288222980252725e-16,0.7703730026309363
829,C06_6745,0.7177955877721445,0.3394639025350831,0.8464584891901084,0.7416558289169249,0.35425269764952116,0.8780703676103985
830,C06_75836284,0.02475798722436353,3.818203269019041e-07,0.6932249825151535,0.02767256191901249,5.622858846818227e-07,0.7240041717388264
831,C06_75846286,0.00046732524729932505,8.658133791188675e-05,0.0010505101695516925,0.0005712482306641093,0.00010936810512236879,0.0013005604801799285
832,C07_55185977,5.0871095019848124e-05,0.00017058545582942855,4.3024363991205896e-05,6.601611784136354e-05,0.0002117920233811878,5.872274667069451e-05
833,C07_55205980,0.00015162827006141448,7.305821282418486e-12,1.7191869523957877e-06,0.00019070395622849384,1.493774421957296e-11,2.569431672985347e-06
834,C07_55215982,0.033509792491626576,0.0030249212761891808,0.010012083417455513,0.037326820902575504,0.0035040237143433677,0.011738459722935043
835,C07_55225983,6.356539827026744e-08,4.952243695838841e-06,5.003756947366471e-08,9.861512470806196e-08,6.755646964386214e-06,8.545295883132811e-08
836,C07_55235979,8.750705048430697e-16,4.797917049468486e-13,1.1959969075311445e-16,2.863169283390044e-15,1.0625412566719439e-12,4.925469914138515e-16
837,C07_55335984,0.016616796720327506,1.721420143665173,0.00025162671224487654,0.01872527243710622,1.0,0.0003257299681067787
838,C07_55345985,1.7221175831912412e-15,4.339646920907528e-11,1.9598773260874963e-15,5.430493973082525e-15,8.288820856246932e-11,7.207379856921765e-15
839,C07_55355986,1.0428047084365922e-16,2.8015532950554923e-19,1.3368317160206017e-06,3.8348775967999187e-16,1.1537627213548723e-18,2.0222871439917677e-06
840,C07_55365987,5.000987365357365e-09,1.1325895854919806e-06,1.1682390664766334e-09,8.523223244744176e-09,1.6062962562300712e-06,2.326675974500755e-09
