cell,phase
M3_355,S-ph
M3_356,G2M
M3_357,G2M
M4_355,G1
M4_356,G1
M4_357,G2M
M5_355,G1
M5_356,G1
M5_357,S-ph
M6_355,S-ph
M6_356,S-ph
M6_357,
M7_355,G1
M7_356,S-ph
M7_357,S-ph
M8_355,S-ph
M8_356,G2M
M8_357,G1
M9_355,G1
M9_356,G1
M9_357,G2M
N10_355,G1
N10_356,G1
N10_357,G1
N11_355,G1
N11_356,G1
N11_357,G1
N12_355,G1
N12_356,G1
N12_357,G1
N13_355,G1
N13_356,G1
N13_357,G1
N14_355,G1
N14_356,G1
N14_357,G1
N15_355,G1
N15_356,G1
N15_357,G1
N16_355,G1
N16_356,G1
N16_357,G1
N17_355,G1
N17_356,G1
N17_357,G1
N18_355,G1
N18_356,G1
N18_357,G1
N19_355,G1
N19_356,G1
N19_357,G1
N1_355,G1
N1_356,G1
N1_357,G1
N20_355,G1
N20_356,G1
N20_357,G1
N21_355,G1
N21_356,G1
N21_357,G1
N22_355,G1
N22_356,G1
N22_357,G1
N23_355,G1
N23_356,G1
N23_357,G1
N24_355,G1
N24_356,G1
N24_357,G1
N2_355,G1
N2_356,G1
N2_357,G1
N3_355,G1
N3_356,G1
N3_357,G1
N4_355,G1
N4_356,G1
N4_357,G1
N5_355,G1
N5_356,G1
N5_357,G1
N6_355,G1
N6_356,G1
N6_357,G1
N7_355,G1
N7_356,G1
N7_357,G1
N8_355,G1
N8_356,G1
N8_357,G1
N9_355,G1
N9_356,G1
N9_357,G1
O10_355,S-ph
O10_356,S-ph
O10_357,S-ph
O11_355,S-ph
O11_356,S-ph
O11_357,S-ph
O12_355,S-ph
O12_356,S-ph
O12_357,S-ph
O13_355,S-ph
O13_356,S-ph
O13_357,S-ph
O14_355,S-ph
O14_356,S-ph
O14_357,S-ph
O15_355,S-ph
O15_356,S-ph
O15_357,S-ph
O16_355,S-ph
O16_356,S-ph
O16_357,S-ph
O17_355,S-ph
O17_356,S-ph
O17_357,S-ph
O18_355,S-ph
O18_356,S-ph
O18_357,S-ph
O19_355,S-ph
O19_356,S-ph
O19_357,S-ph
O1_355,S-ph
O1_356,S-ph
O1_357,S-ph
O20_355,S-ph
O20_356,S-ph
O20_357,S-ph
O21_355,S-ph
O21_356,S-ph
O21_357,S-ph
O22_355,S-ph
O22_356,S-ph
O22_357,S-ph
O23_355,S-ph
O23_356,S-ph
O23_357,S-ph
O24_355,S-ph
O24_356,S-ph
O24_357,S-ph
O2_355,S-ph
O2_356,S-ph
O2_357,S-ph
O3_355,S-ph
O3_356,S-ph
O3_357,S-ph
O4_355,S-ph
O4_356,S-ph
O4_357,S-ph
O5_355,S-ph
O5_356,S-ph
O5_357,S-ph
O6_355,S-ph
O6_356,S-ph
O6_357,S-ph
O7_355,S-ph
O7_356,S-ph
O7_357,S-ph
O8_355,S-ph
O8_356,S-ph
O8_357,S-ph
O9_355,S-ph
O9_356,S-ph
O9_357,S-ph
P10_355,G2M
P10_356,G2M
P10_357,G2M
P11_355,G2M
P11_356,G2M
P11_357,G2M
P12_355,G2M
P12_356,G2M
P12_357,G2M
P13_355,G2M
P13_356,G2M
P13_357,G2M
P14_355,G2M
P14_356,G2M
P14_357,G2M
P15_355,G2M
P15_356,G2M
P15_357,G2M
P16_355,G2M
P16_356,G2M
P16_357,G2M
P17_355,G2M
P17_356,G2M
P17_357,G2M
P18_355,G2M
P18_356,G2M
P18_357,G2M
P19_355,G2M
P19_356,G2M
P19_357,G2M
P1_355,G2M
P1_356,G2M
P1_357,G2M
P20_355,G2M
P20_356,G2M
P20_357,G2M
P21_355,G2M
P21_356,G2M
P21_357,G2M
P22_355,G2M
P22_356,G2M
P22_357,G2M
P23_355,
P23_356,
P23_357,
P24_355,
P24_356,
P24_357,
P2_355,G2M
P2_356,G2M
P2_357,G2M
P3_355,G2M
P3_356,G2M
P3_357,G2M
P4_355,G2M
P4_356,G2M
P4_357,G2M
P5_355,G2M
P5_356,G2M
P5_357,G2M
P6_355,G2M
P6_356,G2M
P6_357,G2M
P7_355,G2M
P7_356,G2M
P7_357,G2M
P8_355,G2M
P8_356,G2M
P8_357,G2M
P9_355,G2M
P9_356,G2M
P9_357,G2M
