,well_plate,variability_compartment_p,variability_compartment_adj_p
80,E12_55395990,1.1940668231858302e-34,4.4538692504831465e-33
81,G04_55405991,1.1332121778143534e-26,1.477069124995366e-25
82,D01_6735,5.985340956893573e-33,1.882858462463749e-31
83,G08_55405991,2.6663352147451465e-34,9.805353867182504e-33
84,E03_6735,5.161657920445787e-34,1.8718178930949932e-32
85,D10_6725,6.331677518871314e-34,2.2646589043524656e-32
86,A08_55405991,5.310758107188163e-28,8.720999633879429e-27
87,F12_6722,1.0955881648766759e-33,3.8141075979906674e-32
88,A03_55395990,1.260114888602881e-33,4.3291578607133185e-32
89,D08_55355986,1.327307124972499e-33,4.500777796497656e-32
90,H08_6717,1.762634057297998e-33,5.825617118487433e-32
91,E08_6734,2.0535169619891587e-33,6.702165984692116e-32
92,G04_55245981,5.3376667312518265e-33,1.6995911994266488e-31
93,A05_6734,5.3162290503865596e-33,1.6995911994266488e-31
94,B05_6736,1.2356330183466226e-31,3.292079398880645e-30
95,E09_55375988,2.0619798218799e-15,6.439987218813899e-15
96,H05_6734,4.070813456319204e-36,1.9325261698998983e-34
97,D08_55205980,1.6869726616584708e-32,5.062857034011802e-31
98,E01_6721,2.1496634622936686e-32,6.378149204600874e-31
99,D07_6725,2.567034553646108e-32,7.484811782592743e-31
100,G01_55405991,2.579981081705656e-32,7.484811782592743e-31
101,D01_6721,2.6624542358670804e-32,7.556160880270595e-31
102,F01_55235979,2.6612583842395843e-32,7.556160880270595e-31
103,C07_55395990,3.44326034298258e-32,9.667045973685502e-31
104,D04_6735,3.5289871122356956e-32,9.802324840475958e-31
105,D12_55405991,3.7518351555304476e-32,1.0311622727463157e-30
106,H07_55345985,1.7134813336617e-17,6.990468378422967e-17
107,C11_6731,6.209462760917638e-32,1.6714337390470055e-30
108,C09_55365987,8.050190515519123e-31,1.9462080959278177e-29
109,C03_55215982,3.71868437169659e-17,1.4666895611026884e-16
110,F01_55345985,5.955975011144793e-29,1.0951444193027503e-27
111,E07_55185977,1.810815155471614e-27,2.6413622184002146e-26
112,B01_6735,8.146964675800267e-31,1.9515343824325227e-29
113,H06_55195978,2.581866235035528e-31,6.609071313409572e-30
114,C10_55365987,3.006608251665077e-31,7.621605966114093e-30
115,H03_55205980,3.1638832870992775e-31,7.943172367900205e-30
116,A04_6734,3.6004249533106388e-31,8.953056717232456e-30
117,B12_75836284,4.142446945531383e-31,1.0203706579983435e-29
118,G02_6725,1.4157856225567014e-31,3.696616260495548e-30
119,G09_6745,5.268725265987755e-07,7.693871179806503e-07
120,H08_55375988,9.083387660936643e-31,2.156065925700507e-29
121,G01_75846286,2.4603026744823563e-25,2.8677903049434965e-24
122,B12_6734,9.654757209473082e-31,2.271042439093173e-29
123,F03_55375988,4.801571144930886e-28,7.934748265452242e-27
124,C09_55235979,3.777654031648269e-22,2.8262047784050516e-21
125,F02_6720,1.257642666985691e-30,2.9318794674103917e-29
126,F07_6734,1.6572271218824143e-21,1.1357007914002582e-20
127,F04_55395990,1.6043324074219153e-25,1.904050870808464e-24
