gene,ptm_count
CDC37,0
SHC2,0
PARP2,0
TARDBP,0
CDK2,0
POLR2M,0
RPS20,0
HLA-DQA1,0
TRIM51GP,0
UNC13A,0
TCP11X2,0
BTD,0
ZNF324,0
PDZD4,0
HRASLS,0
COG8,0
IRF1,0
HLA-C,0
B4GALT1,0
DTX2,0
SLC50A1,0
BORCS5,0
USP11,0
SORBS2,0
SETD4,0
DNAJB6,0
ACSS2,0
LMOD2,0
MUCL3,0
SELENOT,0
ZNF814,0
KIAA1109,0
CD1B,0
TP53BP1,0
NUP50,0
ALDH7A1,0
TTLL5,0
P2RX7,0
NR1D2,0
IRAK4,0
GUSBP1,0
EPN3,0
MAP4K4,0
MFAP5,0
ZNF507,0
FERMT3,0
UNKL,0
ACYP2,0
PABPC4,0
NAIP,0
THAP4,0
RELA,0
OBP2A,0
GCKR,0
WRB,0
PMS2,0
FRMD8,0
ZCRB1,0
ZBTB25,0
AP1G2,0
TTYH3,0
IDUA,0
CFAP97,0
ATAD2,0
FAM3A,0
CADM1,0
ZGRF1,0
TBC1D16,0
MIS12,0
P4HB,0
COPS7B,0
PDXDC1,0
SULF2,0
MTERF3,0
SPATA24,0
CANX,0
GAB1,0
MKX,0
RNF111,0
ZSCAN10,0
SHLD1,0
SSX5,0
CENPS-CORT,0
SDF4,0
PDE8B,0
ADAMTS9,0
SCNN1B,0
SHISA5,0
CBWD1,0
ENDOV,0
JADE1,0
CRYZL1,0
A0A096LPE4,0
SERPINA10,0
NSFL1C,0
CEP83,0
NCKIPSD,0
ANXA4,0
EIF4G1,0
BTN1A1,0
PIGT,0
BCS1L,0
GLS2,0
CEP70,0
HDAC9,0
HADHB,0
CRYZ,0
ABHD14A-ACY1,0
FIGNL1,0
TNKS1BP1,0
TPM4,0
C1QTNF7,0
DPP10,0
ANKLE1,0
DRC3,0
DBR1,0
TTK,0
CENPK,0
ZNF696,0
CES3,0
WARS,0
TPTE2,0
TMCC3,0
WHRN,0
CCDC157,0
APOC2,0
DPP3,0
DDX56,0
CCDC88C,0
INO80C,0
SETD3,0
NPIPA1,0
EYA1,0
ZNF385B,0
HDAC4,0
CTSB,0
B4DEV8,0
MARVELD2,0
NFKBIA,0
GPATCH2L,0
IL11RA,0
ZNF410,0
GSKIP,0
A0A2R8YDQ0,0
ITPRID2,0
RPP40,0
CNOT7,0
KANSL2,0
HDLBP,0
ATF6B,0
ETFA,0
PWWP3A,0
AHRR,0
TBXAS1,0
DAO,0
COMMD6,0
GRM5,0
PTK7,0
PGA3,0
RPS29,0
HAS1,0
TMPRSS4,0
LRR1,0
TCL1A,0
SHOX2,0
USP41,0
TAF2,0
PNPLA6,0
USHBP1,0
TBL3,0
FA2H,0
NOL3,0
OSGIN1,0
GNAO1,0
CCDC88A,0
NAPRT,0
CEP57L1,0
SEPT4,0
JPT1,0
CEP95,0
ZNF18,0
TMEM205,0
CCR10,0
IGFLR1,0
K7EIL1,0
TJP3,0
SAP130,0
PBX1,0
TNC,0
MYO1C,0
SPEG,0
CAMK2G,0
CASP1,0
DGLUCY,0
MLXIPL,0
CFHR3,0
SLC38A7,0
CCPG1,0
NQO1,0
ZNF276,0
CDSN,0
OR51C1P,0
MPI,0
TMEM116,0
ZFHX2,0
SMIM27,0
TDP1,0
FGFR2,0
FAM133B,0
SMN1,0
TRBV23-1,0
PRXL2B,0
PLCZ1,0
SNRPG,0
CREG1,0
SEC11C,0
IKZF1,0
TRAK1,0
DYNLRB2,0
IDS,0
RPS6KA3,0
COQ2,0
RPL15,0
ATP7B,0
SRSF5,0
CCAR2,0
F13A1,0
TRAPPC4,0
METTL7A,0
ZHX3,0
GNS,1
GLYATL3,0
DLGAP1,0
OPA1,0
GSAP,0
UCP2,0
GLI2,0
TNFAIP2,0
CHST14,0
ZNF483,0
UGT3A1,0
PRIM1,0
PINX1,0
CAMK2D,0
ENTPD4,0
FKBP1A,0
PEX16,0
LINC02218,0
MAX,0
GNG2,0
SPTBN2,0
KIF1A,0
SLC5A12,0
STAU2,0
PICALM,0
IL1B,0
PHC3,0
LMX1B,0
METTL25,0
TCP11L2,0
DAOA,0
RXYLT1,0
TGFBR1,0
AGRN,0
PAX4,0
TFRC,0
ATL3,0
EZH2,0
KLF7,0
AZI2,0
SHANK2,0
OTOG,0
CERS4,0
TM2D3,0
HYOU1,0
TNNI3,0
BRCA1,0
GAS2L3,0
HSP90B1,0
ATF7IP2,0
CLIP1,0
FANK1,0
PMM2,0
PDP2,0
RABEP1,0
ADCY7,0
KCNAB3,0
PCSK7,0
LMO7,0
POLR2G,0
KNSTRN,0
AKR1E2,0
DCAF4,0
RGS22,0
ECI2,0
NLRP7,0
HDAC6,0
ATP6V1H,0
RPL37A,0
IMPA2,0
EPB41L1,0
STPG3,0
IL18BP,0
ARHGEF4,0
HSPB2-C11orf52,0
CLN3,0
PABPC1L,0
PARP12,0
PCDHGC3,0
CCDC186,0
KMT5C,0
CLDND1,0
RELB,0
ENTPD5,0
DIS3,0
NFRKB,0
EPHB4,0
DUSP13,0
FOS,0
PRKCH,0
LRP1,0
PRRC2B,0
TCIRG1,0
RDH11,0
VRK1,0
THTPA,0
NDUFS8,0
MORN4,0
TIMM8B,0
TXNDC9,0
PARVA,0
TMTC2,0
PRH1-PRR4,0
MAP9,0
NT5E,0
NDUFA3,0
FERMT1,0
PRKCZ,0
ERVK3-1,0
DLG4,0
ESCO2,0
TUBA1B,0
MCM5,0
RUVBL2,0
ZNF460,0
ACTR6,0
KIR3DL1,0
SCN1A,0
STXBP1,0
KCNC3,0
SCUBE2,0
PTMA,0
EIF3L,0
MAP3K20,0
GFM1,0
AFF3,0
RFFL,0
VOPP1,0
LRRC32,0
TTN,0
TSPAN10,0
DEUP1,0
BEGAIN,0
FBXL15,0
GLG1,0
PFKFB1,0
RCSD1,0
ACVRL1,0
RPAIN,0
CYP2D6,0
TMX2,0
LMBR1L,0
RAPGEF3,0
PUS7L,0
SDCBP,0
AP1G1,0
SPG7,0
MT3,0
FAM173B,0
MCM10,0
U2AF2,0
ST6GALNAC2,0
ZNF532,0
ZNHIT3,0
SYBU,0
HLA-DPA1,0
ZNF93,0
ELP4,0
SHISA9,0
MTHFD2L,0
MUC20,0
TRIM49D1,0
DCHS2,0
KPNA1,0
CAPZA2,0
HMOX2,0
MARS,0
CCDC183,0
GPS1,0
ZNF544,0
ZNF773,0
POLR2J3,0
DCTD,0
DDR1,0
NEK9,0
NUP98,0
ACACA,0
SLC25A40,0
CYP4F2,0
HLA-B,0
GALK2,0
SHF,0
DPY19L2,0
FKBP1B,0
SLC6A9,0
PNKP,0
SLC9A3,0
GSK3A,0
HACD3,0
GAK,0
USP37,0
AGPAT4,0
CFC1,0
TPK1,0
C11orf80,0
MFSD9,0
THBS3,0
ARHGAP23,0
GYPA,0
TRPV3,0
MRPL10,0
LYSMD3,0
WIPI1,0
TMCC1,0
DCTPP1,0
NDUFAF5,0
GALNT3,0
CYP21A2,0
VGLL4,0
ARMC3,0
PRIMPOL,0
PAX6,0
LILRA6,0
RIPK2,0
ZNF540,0
SLC35G1,0
PFKFB3,0
PHLDB2,0
MKKS,0
SLC35E2B,0
NAALAD2,0
HLA-F,0
NLRP2,0
HLA-A,0
CSAG2,0
ZNF611,0
CFHR2,0
MYO19,0
ANKMY1,0
FRMD4A,0
ZNF780A,0
CHORDC1,0
INTS6,0
IL17RE,0
TBCE,0
NLN,0
ARL1,0
DLG2,0
ZFP90,0
COMMD1,0
CELF4,0
ADD2,0
GPD1L,0
SLC14A1,0
PRPS1,0
OCA2,0
DPF1,0
MAD1L1,0
PARL,0
SLC12A6,0
ST3GAL6,0
PIWIL1,0
CAST,0
HADH,0
CTNND2,0
ST3GAL3,0
MS4A1,0
RAB13,0
ZNF585A,0
EIF3H,1
SCN5A,0
FAM184A,0
MAP4K2,0
FYN,0
BUD23,0
PDCD6IP,0
HP1BP3,0
MST1R,0
DNA2,0
LARP1,0
RANBP17,0
PRPF40B,0
BMF,0
TSEN54,0
PRICKLE3,0
RTN3,0
ACP1,0
SLC17A3,0
SEPSECS,0
ST3GAL5,0
AKAP1,0
TRPV5,0
SNX21,0
STK38L,0
CIITA,0
MLST8,0
DISC1,0
FAM219B,0
CDH11,0
TVP23A,0
PRR27,0
FBXO31,0
TRIM16,0
NIN,0
CORIN,0
GPX6,0
CHP1,0
ARSD,0
ECHDC1,0
RANBP3,0
PFKM,0
SNAPC5,0
TEX38,0
EMP3,0
DKKL1,0
SNRPA,0
ECH1,0
PLD3,0
VPS13D,0
IFI16,0
DDX19B,0
PIN4,0
KIAA0391,0
TMEM80,0
NME4,0
EPS15L1,0
ZNF559,0
AANAT,0
PRB3,0
PIAS2,0
HLCS,0
NDUFAF6,0
CYP27B1,0
MND1,0
LRMDA,0
PIP4K2C,0
CHEK2,0
IGF1,0
KIF1B,0
MFSD8,0
PTCH1,0
PRRT1,0
PHACTR1,0
UBE2C,0
LIG1,0
PCDH18,0
TBL2,0
VARS,0
S100B,0
ABR,0
ANK2,0
NOSTRIN,0
REPIN1,0
POLR1A,0
KLK2,0
LILRA2,0
KIR2DS4,0
BTNL9,0
LDHA,0
ARMCX4,0
ARMC10,0
GSTA3,0
BFAR,0
OR8A1,0
MCOLN2,0
SHKBP1,0
SLC25A27,0
TPRA1,0
RPS25,0
NARF,0
PODNL1,0
SLC29A2,0
SEPT6,0
CLK2,0
REEP2,0
ZNF415,0
MCCC1,0
CD63,0
TMPRSS11E,0
SH2B3,0
MTMR14,0
POT1,0
EPB41L2,0
PRB4,0
MPHOSPH6,0
ARMC6,0
CACNB4,0
PIGL,0
PPIH,0
GLOD4,0
PMPCB,0
PPFIA1,0
TSEN34,0
TMEM51,0
RPL23,0
GRID1,0
RPL19,0
CYTH4,0
C2orf73,0
CYP2C8,0
BCAS1,0
MST1,0
SHMT2,0
MUS81,0
SEPT5,0
ELOVL7,0
SUN2,0
CCDC43,0
DHDH,0
PWWP2A,0
CDKL1,0
DST,0
GADD45A,0
ANKZF1,0
EFR3B,0
GRIA4,0
FBXO16,0
FAM156A,0
UBR3,0
ANKS1B,0
CHD3,0
RPLP0,0
H0YHG0,0
MEP1A,0
MATN2,0
INPP4B,0
TEDC1,0
ZNF561,0
CMAS,0
ABCC2,0
APOC4-APOC2,0
BTK,0
PRKG2,0
NDUFV1,0
TMEM106C,0
AXDND1,0
TBCK,0
GGA3,0
PHF20,0
PTPN2,0
CA6,0
ADAM17,0
ZNF616,0
SNRPE,0
KLHL6,0
PDE10A,0
MBNL1,0
AIFM3,0
LILRB3,0
PARP15,0
LARGE2,0
CDK13,0
PHF11,0
LRP5,0
UBE3D,0
ATP5F1A,0
DNAJC7,0
LST1,0
RABL2B,0
OOEP,0
SLC25A19,0
ZFC3H1,0
MEF2D,0
NFATC1,0
HPSE2,0
CCNL2,0
LSAMP,0
TBC1D30,0
RPS27A,0
SMARCD2,0
PLEKHG4B,0
RIOX2,0
LAMA4,0
LOC105372440,0
STK3,0
TMEM176A,0
ST13,0
HLA-DQB1,0
HDGFRP3,0
MATR3,0
B4DLN1,0
PDPR,0
TENM2,0
CMTM3,0
NCAPD3,0
MYBPC1,0
RASGEF1B,0
ZNF283,0
BECN1,0
DUS3L,0
CALD1,0
EEF1D,0
EXOSC9,0
SPTLC3,0
PDE4DIP,0
K7EIM0,0
IDH2,0
PXYLP1,0
LILRB1,0
NOL4L,0
TG,0
ALOXE3,0
KIF16B,0
LOXHD1,0
DMD,0
KLK13,0
RGL3,0
SPTY2D1OS,0
PLD1,0
TMEM68,0
ARL17B,0
COMMD4,0
MCRIP1,0
GOSR2,0
BCO2,0
SEMA4B,0
DRC7,0
TMEM87A,0
ROR2,0
ENTPD6,0
HNF1A,0
IPO8,0
POTED,0
TMEM241,0
RAB34,0
V9GYE0,0
SMIM8,0
CEP170,0
TTC3,0
KIR3DL2,0
TARBP2,0
PPP1R12A,0
ATG16L1,0
ARHGAP27,0
ASPM,0
A0A1W2PRG6,0
NECAP1,0
TMUB2,0
ESR1,0
LY6E,0
SYT6,0
CHRNA1,0
MAPKBP1,0
TEC,0
RPL36A,0
ACHE,0
MEFV,0
CORO7,0
VBP1,0
RNH1,0
FBXO42,0
PQLC2,0
URM1,0
TMOD2,0
GSTM1,0
RHCE,0
ADGRL3,0
RASGRP2,0
ZNF251,0
ISCA1,0
KCNB1,0
PLA2G6,0
FGF1,0
CHPF2,0
CDHR5,0
ALG10,0
A0A286YER9,0
CCHCR1,0
TRBJ2-1,0
DGKI,0
CD8A,0
SHBG,0
ACSBG2,0
VPS37D,0
RALA,0
INSIG1,0
CES1,0
LUC7L,0
HAUS1,0
RPS15A,0
GRAP,0
E2F6,0
PDE7B,0
CCNJL,0
FAAP20,0
ABCC9,0
CCNE1,0
ADHFE1,0
IRF7,0
C19orf54,0
IPO7,0
LY6G5C,0
SCRN3,0
TSHZ2,0
KLRD1,0
CWC25,0
ZNF85,0
HKR1,0
GON7,0
PPFIBP2,0
RAP1GAP,0
BCAR1,0
MOK,0
PES1,0
RAB11FIP4,0
SMCHD1,0
HSD17B7,0
HLA-DOB,0
PIK3R6,0
STK26,0
C9orf131,0
KIR2DL2,0
SLC15A3,0
TMEM107,0
SNTB2,0
MRPS36,0
BTNL2,0
DDX5,0
C1QTNF1,0
ZNF525,0
SNX11,0
ADAMTS18,0
ZNF638,0
CNOT8,0
SRRM2,0
PROP1,0
WSB2,0
KIF9,0
DMAC2L,0
RPL8,0
STK33,0
CNIH1,0
SRR,0
BICD1,0
PODXL,0
BTBD6,0
TOM1,0
HIBCH,0
PJVK,0
SENP5,0
OARD1,0
FNBP1L,0
SLFN12L,0
PHF6,0
DPY19L3,0
KIR2DL5A,0
SLC22A18,0
DYNC1I2,0
EGFR,0
SP2,0
KLC4,0
TBPL2,0
ADAM33,0
THOP1,0
NCBP3,0
FGD4,0
ROGDI,0
AP1M1,0
ICAM3,0
AGL,0
KIAA0100,0
APOPT1,0
SLIRP,0
SNX1,0
TUSC2,0
IGHV3-35,0
TAF11L7,0
ABCA8,0
HDAC2,0
SPIDR,0
STON1,0
CPXM2,0
KIFC2,0
SEM1,0
OVCH2,0
ST6GALNAC4,0
MAP2K5,0
NR1H3,0
KLRF1,0
MRPL19,0
EML2,0
PSME3,0
RPH3AL,0
CYTH2,0
GABRG3,0
MYT1L,0
TLR2,0
FGFR4,0
PIK3R1,0
RFX5,0
PGR,0
ZNF26,0
KIR3DX1,0
RAB11FIP3,0
EIF4G2,0
IARS,0
LUZP1,0
IL20RA,0
CCR3,0
FKSG35,0
RXFP1,0
SSR3,0
ABTB1,0
AADACL2,0
PIP4K2B,0
ZNF35,0
FKBP4,0
CASP8AP2,0
MRTFB,0
LRRC46,0
PFDN5,0
TRIM39,0
POLR1D,0
EPHA10,0
ERCC3,0
PCGF3,0
FANCD2,0
NR3C1,0
PLXND1,0
EXOC6B,0
TOMM5,0
TEX261,0
EDEM1,0
CYP4B1,0
PDHA1,0
MAP2K3,0
MED24,0
RNF114,0
GRIN2B,0
Q8N7B4,0
MRNIP,0
MIEF2,0
DIAPH2,0
FOPNL,0
FKTN,0
MBOAT7,0
EDN3,0
DPYSL4,0
MPND,0
INTU,0
ATPAF1,0
STX16,0
ZC3H3,0
AEBP2,0
VPS9D1,0
DDR2,0
KPNA2,0
FTSJ3,0
NAT9,0
BIVM-ERCC5,0
DOCK2,0
CD36,0
BPTF,0
PADI4,0
KLRC4-KLRK1,0
XPNPEP3,0
C12orf43,0
RNF144A,0
MAU2,0
