well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,perc_var_rng_wilcoxon_p_adj,pass_percvar_rng,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
G12_55195978,ENSG00000114354,0.001376523,0.145112476,TRUE,0.023696683,TRUE,3.46E-151,TRUE,TRUE,FALSE,FALSE,TFG
G12_55205980,ENSG00000135540,0.000235844,0.102591309,FALSE,0.185526336,FALSE,3.70E-162,TRUE,FALSE,TRUE,FALSE,NHSL1
G12_55215982,ENSG00000172932,0.000136893,0.090196408,FALSE,0.210240452,FALSE,7.73E-24,TRUE,FALSE,TRUE,FALSE,ANKRD13D
G12_55235979,ENSG00000116157,0.000352524,0.178772483,TRUE,0.351302321,FALSE,7.17E-162,TRUE,FALSE,TRUE,FALSE,GPX7
G12_55245981,ENSG00000144895,0.000344018,0.082739113,FALSE,0.431655723,FALSE,1.34E-156,TRUE,FALSE,TRUE,FALSE,EIF2A
G12_55335984,ENSG00000137628,0.000909512,0.066383645,FALSE,0.888566783,FALSE,7.46E-145,TRUE,FALSE,TRUE,FALSE,DDX60
G12_55345985,ENSG00000137343,3.51E-05,0.091649664,FALSE,0.484043313,FALSE,8.69E-144,TRUE,FALSE,TRUE,FALSE,ATAT1
G12_55355986,ENSG00000197757,0.00138085,0.101953341,FALSE,0.104111555,FALSE,1.85E-05,FALSE,FALSE,TRUE,TRUE,HOXC6
G12_55365987,ENSG00000183762,0.00114204,0.124087701,FALSE,0.021951099,TRUE,8.94E-140,TRUE,FALSE,TRUE,FALSE,KREMEN1
G12_55395990,ENSG00000111802,0.007972595,0.149296968,TRUE,0.365737924,FALSE,0.000377548,FALSE,FALSE,TRUE,FALSE,TDP2
G12_55405991,ENSG00000105996,0.000323762,0.26332585,TRUE,1.89E-08,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,HOXA2
G12_75836284,ENSG00000115468,1.29E-05,0.181808431,TRUE,0.340002427,FALSE,2.70E-164,TRUE,FALSE,TRUE,FALSE,EFHD1
H01_55185977,ENSG00000117707,2.08E-05,0.144242388,TRUE,0.025936778,TRUE,1.97E-162,TRUE,TRUE,FALSE,FALSE,PROX1
H01_55205980,ENSG00000102572,0.000400542,0.092044887,FALSE,0.018575359,TRUE,2.53E-142,TRUE,FALSE,TRUE,FALSE,STK24
H01_55215982,ENSG00000177733,0.01829942,0.113698912,FALSE,0.19640843,FALSE,4.48E-163,FALSE,FALSE,TRUE,FALSE,HNRNPA0
H01_55225983,ENSG00000171772,0.001925256,0.134487364,FALSE,0.689145152,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,SYCE1
H01_55235979,ENSG00000108654,0.006311143,0.062009016,FALSE,0.28895857,FALSE,5.07E-162,FALSE,FALSE,TRUE,FALSE,DDX5
H01_55245981,ENSG00000099250,8.91E-05,0.05721931,FALSE,0.654812133,FALSE,0.620714129,FALSE,FALSE,TRUE,FALSE,NRP1
H01_55335984,ENSG00000165863,0.000607021,0.112049478,FALSE,0.448597614,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,C10orf82
H01_55345985,ENSG00000249915,8.00E-05,0.06173567,FALSE,0.160421807,FALSE,1.47E-30,FALSE,FALSE,TRUE,FALSE,PDCD6
H01_55365987,ENSG00000173083,0.001988841,0.365342771,TRUE,0.420249889,FALSE,2.07E-150,TRUE,FALSE,TRUE,FALSE,HPSE
H01_55375988,ENSG00000092020,6.37E-05,0.094202852,FALSE,0.045624645,TRUE,1.59E-157,TRUE,FALSE,TRUE,FALSE,PPP2R3C
H01_55385989,ENSG00000149929,0.001646039,0.10358627,FALSE,0.010801904,TRUE,1.39E-66,TRUE,FALSE,TRUE,FALSE,HIRIP3
H01_55395990,ENSG00000164929,0.00055993,0.063085462,FALSE,0.52201193,FALSE,2.81E-16,TRUE,FALSE,TRUE,FALSE,BAALC
H01_55405991,ENSG00000165280,0.017393449,0.165075937,TRUE,0.247708561,FALSE,0.008574926,FALSE,FALSE,TRUE,FALSE,VCP
H01_75836284,ENSG00000116586,0.000100088,0.178038928,TRUE,0.085330471,FALSE,1.35E-131,TRUE,FALSE,TRUE,FALSE,LAMTOR2
H02_55185977,ENSG00000166165,1.37E-05,0.264469984,TRUE,0.721828877,FALSE,1.88E-99,TRUE,FALSE,TRUE,FALSE,CKB
H02_55205980,ENSG00000135698,0.000646001,0.057176281,FALSE,0.000633059,TRUE,1.08E-161,TRUE,FALSE,TRUE,FALSE,MPHOSPH6
H02_55215982,ENSG00000168291,0.000248353,0.083211601,FALSE,0.08278693,FALSE,2.41E-07,FALSE,FALSE,TRUE,FALSE,PDHB
H02_55225983,ENSG00000163053,0.000483572,0.136782446,FALSE,0.721828877,FALSE,8.31E-164,TRUE,FALSE,TRUE,FALSE,SLC16A14
H02_55235979,ENSG00000100116,3.09E-05,0.268152278,TRUE,0.000537749,TRUE,2.56E-164,TRUE,TRUE,FALSE,TRUE,GCAT
H02_55335984,ENSG00000106013,0.000199774,0.16456928,TRUE,0.000403833,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,ANKRD7
H02_55355986,ENSG00000111247,0.000520677,0.357902764,TRUE,4.66E-07,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,RAD51AP1
H02_55375988,ENSG00000070495,0.000267118,0.24941355,TRUE,0.235302136,FALSE,2.65E-164,TRUE,FALSE,TRUE,FALSE,JMJD6
H02_55385989,ENSG00000270806,0.000428522,0.21178981,TRUE,0.001255295,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,C17orf50
H02_55395990,ENSG00000132471,0.000448143,0.112472735,FALSE,0.390978517,FALSE,9.26E-79,TRUE,FALSE,TRUE,FALSE,WBP2
H02_55405991,ENSG00000134057,0.008829059,0.532324126,TRUE,1.37E-29,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,CCNB1
H02_6718,ENSG00000148399,4.12E-06,0.290719824,TRUE,0.344840247,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,DPH7
H02_6720,ENSG00000102572,8.35E-05,0.092840992,FALSE,0.644754677,FALSE,2.22E-10,FALSE,FALSE,TRUE,FALSE,STK24
H02_75836284,ENSG00000108591,0.000242926,0.139261144,FALSE,0.591823912,FALSE,4.12E-164,TRUE,FALSE,TRUE,FALSE,DRG2
H02_75846286,ENSG00000131370,0.000220947,0.147219782,TRUE,0.564605698,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,SH3BP5
H03_55185977,ENSG00000126778,3.01E-05,0.080763153,FALSE,0.986691467,FALSE,8.58E-163,FALSE,FALSE,TRUE,FALSE,SIX1
H03_55195978,ENSG00000167642,0.003212953,0.093153436,FALSE,0.258417071,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,SPINT2
H03_55205980,ENSG00000175946,0.000421752,0.664990991,TRUE,5.41E-29,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,KLHL38
H03_55215982,ENSG00000168152,6.17E-05,0.065378669,FALSE,0.865049467,FALSE,5.53E-30,TRUE,FALSE,TRUE,FALSE,THAP9
H03_55235979,ENSG00000130707,3.23E-05,0.126837708,FALSE,0.294494306,FALSE,2.55E-164,TRUE,FALSE,TRUE,FALSE,ASS1
H03_55245981,ENSG00000154654,0.000397598,0.108046857,FALSE,0.492729071,FALSE,6.94E-164,TRUE,FALSE,TRUE,FALSE,NCAM2
