,well_plate,variability_compartment_p,variability_compartment_adj_p
1842,G05_6745,2.022704171044364e-11,5.281280590596834e-08
1843,H01_55365987,2.0870614295770855e-11,5.44931739262577e-08
1844,H03_55395990,2.0958829453890155e-11,5.472350370410719e-08
1845,E05_55195978,2.1008902040648712e-11,5.485424322813378e-08
1846,D11_6718,5.317028079345538e-09,1.38827603151712e-05
1847,E12_55355986,8.110793916773626e-09,2.1177282916695937e-05
1848,D09_55345985,1.7317535398008697,4521.60849242007
1849,D11_6719,1.9791078714352904e-13,5.167450652317543e-10
1850,D01_6720,2.7847936496423194e-11,7.271096219216095e-08
1851,G04_6736,2.8019818968618208e-11,7.315974732706214e-08
1852,C08_6734,2.9518883359130253e-11,7.707380445068909e-08
1853,F05_6735,3.0302490852503976e-11,7.911980361588788e-08
1854,B05_55355986,3.3191559138161515e-11,8.666316090973972e-08
1855,D09_55205980,3.381283139436537e-11,8.828530277068798e-08
1856,G09_6736,0.020124511668236107,52.54509996576447
1857,D07_6718,1.5150985020506051e-06,0.00395592218885413
1858,H02_75836284,3.583250661049763e-11,9.355867476000932e-08
1859,H05_6734,1.9608608715313047e-17,5.1198077355682367e-14
1860,G09_55185977,3.8705218602345374e-11,1.0105932577072377e-07
1861,D04_55235979,4.0129653632769104e-11,1.0477852563516013e-07
1862,D01_6745,4.058716334532331e-11,1.0597308349463917e-07
1863,D07_55215982,1.2855694126704908e-13,3.3566217364826516e-10
1864,A06_6731,1.868593255212269e-15,4.878896989359235e-12
1865,G05_55215982,4.5662277345852424e-11,1.1922420615002067e-07
1866,H03_6734,9.415355646535333e-11,2.458349359310376e-07
1867,C12_6719,5.17023760487236e-11,1.3499490386321733e-07
1868,B09_6719,5.56879532051145e-11,1.4540124581855396e-07
1869,H10_6720,3.486902772545121e-10,9.104303139115311e-07
1870,C06_75846286,2.4349834178386342e-11,6.357741703976675e-08
1871,E03_6731,6.380387374118263e-11,1.6659191433822785e-07
1872,B10_55235979,6.408695631517191e-11,1.6733104293891386e-07
1873,F11_6736,7.377850531098143e-11,1.9263567736697252e-07
1874,F11_55385989,7.398917274914357e-11,1.9318573004801387e-07
1875,D10_6745,7.493333325366028e-11,1.95650933125307e-07
1876,E12_6718,8.176248907635523e-11,2.134818589783635e-07
1877,B05_55375988,1.1719810420579986,3060.0425008134343
1878,E09_55395990,8.616364028042117e-11,2.2497326477217966e-07
1879,E04_75836284,8.802342340291943e-11,2.2982915850502265e-07
1880,F12_55215982,2.0014001500492486e-10,5.225655791778588e-07
1881,F07_6719,1.1516277205583924e-06,0.0030068999783779624
1882,D03_55205980,9.92311095661281e-11,2.5909242707716046e-07
1883,D10_55345985,1.0637916761551483e-10,2.777560066441092e-07
1884,C12_6721,1.1174374104551953e-10,2.917629078698515e-07
1885,D07_55335984,1.1571486639754199e-10,3.0213151616398215e-07
1886,H08_75836284,1.1705403259543139e-10,3.0562807910667134e-07
1887,D11_55225983,1.1757705276934717e-10,3.069936847807655e-07
1888,E11_55365987,1.1969476634133856e-10,3.12523034917235e-07
1889,E01_55375988,1.4222180256218983e-10,3.7134112648987764e-07
1890,B12_55345985,1.4408512075503776e-10,3.762062502914036e-07
1891,H05_55245981,3.870698525547264e-05,0.10106393850203906
1892,C03_55365987,1.5736149978915585e-10,4.1087087594948595e-07
1893,H06_6724,2.5967109332764856e-09,6.780012246784904e-06
1894,A08_55205980,1.645426979311281e-10,4.296209842981754e-07
1895,D10_55235979,1.7040913356526648e-10,4.449382477389108e-07
1896,C12_55205980,0.1110519980062817,289.9567667944015
1897,E04_55245981,1.7512121249867918e-10,4.5724148583405134e-07
1898,A06_6735,1.7231427584742625e-09,4.499125742376299e-06
1899,H08_6745,9.489226924122028e-08,0.00024776371498882614
1900,B11_6722,4.6651856482597976e-17,1.2180799727606331e-13
1901,E08_6735,2.2566300732206865e-10,5.892061121179212e-07
1902,D02_55335984,7.572789242721461e-08,0.00019772552712745735
1903,D11_55245981,6.581113187849563e-08,0.0001718328653347521
1904,E06_55345985,2.450974290601548e-10,6.399493872760641e-07
1905,G10_55355986,2.486580387369034e-10,6.492461391420547e-07
1906,B11_55235979,2.5490917291827007e-10,6.655678504896031e-07
1907,B12_55365987,1.8166346857634226,4743.233164528297
1908,E02_55395990,0.5813689892596983,1517.9544309570722
1909,A11_55375988,0.004846620448907901,12.65452599209853
1910,B11_55205980,4.039738775083421e-10,1.0547757941742814e-06
1911,H07_55345985,2.0704198098973085e-05,0.054058661236418726
1912,A04_55365987,3.2189180265554126e-10,8.404594967336183e-07
1913,H08_55335984,6.366518151137176e-10,1.6622978892619166e-06
1914,E08_55205980,3.4246273974799274e-10,8.941702134820091e-07
1915,C01_55185977,3.6381345946367844e-10,9.499169426596644e-07
1916,A11_55235979,4.1624525360074106e-10,1.0868163571515349e-06
1917,E12_55185977,4.465424216502572e-10,1.1659222629288216e-06
1918,B12_55185977,4.670995075277839e-10,1.2195968141550437e-06
1919,B08_55185977,4.86852536093753e-10,1.271171971740789e-06
1920,F03_6718,5.081290987634988e-10,1.3267250768714953e-06
1921,B03_55375988,0.13471110225771596,351.73068799489636
1922,D06_6735,1.1080520404398439e-14,2.8931238775884323e-11
1923,G11_55235979,5.675809013123438e-10,1.4819537333265294e-06
1924,B04_75836284,6.043779095518269e-10,1.57803072183982e-06
1925,G06_55365987,0.4036598124001213,1053.9557701767167
1926,F11_55405991,0.17437306314298817,455.2880678663421
1927,C03_55225983,6.248598774314935e-10,1.6315091399736294e-06
1928,B08_55365987,6.894136579939837e-10,1.8000590610222913e-06
1929,H05_6718,6.91072360237395e-10,1.8043899325798382e-06
1930,D03_6718,0.03725928367055435,97.28398966381741
1931,G03_75836284,8.006899214611173e-10,2.0906013849349773e-06
