well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
H11_55215982,ENSG00000111231,50926.70171,0.196154839,FALSE,0.000181662,TRUE,FALSE,TRUE,FALSE,GPN3
H11_55225983,ENSG00000124098,2688532.776,0.246605809,TRUE,4.32E-08,TRUE,TRUE,FALSE,FALSE,FAM210B
H11_55235979,ENSG00000198722,182166.6431,0.340509204,TRUE,4.16E-11,TRUE,TRUE,FALSE,FALSE,UNC13B
H11_55245981,ENSG00000039319,456692.392,0.233653861,FALSE,1.69E-09,TRUE,FALSE,TRUE,TRUE,ZFYVE16
H11_55335984,ENSG00000143515,41271.70297,0.323963323,TRUE,2.50E-12,TRUE,TRUE,FALSE,TRUE,ATP8B2
H11_55345985,ENSG00000184640,32396.97931,0.1809441,FALSE,2.38E-05,TRUE,FALSE,TRUE,FALSE,SEPTIN9
H11_55375988,ENSG00000188976,163521.3855,0.31027258,TRUE,2.47E-11,TRUE,TRUE,FALSE,TRUE,NOC2L
H11_55385989,ENSG00000155868,1094.564806,0.341946753,TRUE,2.92E-10,TRUE,TRUE,FALSE,FALSE,MED7
H11_6721,ENSG00000109861,6385.555704,0.179203654,FALSE,9.62E-07,TRUE,FALSE,TRUE,FALSE,CTSC
H11_75836284,ENSG00000103160,27255.94932,0.215117901,FALSE,1.16E-05,TRUE,FALSE,TRUE,FALSE,HSDL1
