well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
B11_55395990,ENSG00000164089,0.000532137,0.247540023,TRUE,0.001136333,TRUE,TRUE,FALSE,TRUE,ETNPPL
B11_6721,ENSG00000101452,3.65E-06,0.146353147,TRUE,0.247014513,FALSE,FALSE,TRUE,FALSE,DHX35
B11_75836284,ENSG00000182986,3.54E-05,0.153141231,TRUE,0.291198966,FALSE,FALSE,TRUE,FALSE,ZNF320
B12_55205980,ENSG00000177494,1.58E-05,0.128011815,FALSE,0.316928043,FALSE,FALSE,TRUE,FALSE,ZBED2
B12_55215982,ENSG00000127328,0.002913132,0.128885679,FALSE,0.258106079,FALSE,FALSE,TRUE,FALSE,RAB3IP
B12_55235979,ENSG00000058085,2.10E-05,0.131564422,TRUE,0.595531017,FALSE,FALSE,TRUE,FALSE,LAMC2
B12_55245981,ENSG00000108590,0.000115336,0.184046925,TRUE,0.198658163,FALSE,FALSE,TRUE,TRUE,MED31
B12_55355986,ENSG00000146463,0.010336071,0.094842376,FALSE,0.204600951,FALSE,FALSE,TRUE,FALSE,ZMYM4
B12_55365987,ENSG00000126756,0.000225834,0.174377736,TRUE,3.87E-05,TRUE,TRUE,FALSE,TRUE,UXT
B12_55375988,ENSG00000046774,5.47E-05,0.222705198,TRUE,9.27E-05,TRUE,TRUE,FALSE,FALSE,MAGEC2
B12_55385989,ENSG00000132405,0.000400934,0.31272093,TRUE,8.02E-06,TRUE,TRUE,FALSE,TRUE,TBC1D14
B12_6724,ENSG00000103202,1.26E-06,0.219967828,TRUE,0.023679642,TRUE,TRUE,FALSE,FALSE,NME4
B12_75836284,ENSG00000069399,0.000188548,0.144881377,TRUE,0.421191783,FALSE,FALSE,TRUE,TRUE,BCL3
C01_55185977,ENSG00000213190,0.000158389,0.107788186,FALSE,0.494523988,FALSE,FALSE,TRUE,FALSE,MLLT11
C01_55205980,ENSG00000184661,0.000350271,0.43276692,TRUE,1.53E-11,TRUE,TRUE,FALSE,TRUE,CDCA2
C01_55215982,ENSG00000169919,7.49E-06,0.095673418,FALSE,0.490462638,FALSE,FALSE,TRUE,FALSE,GUSB
C01_55225983,ENSG00000111011,0.008215091,0.130657873,TRUE,0.007837626,TRUE,TRUE,FALSE,FALSE,RSRC2
C01_55235979,ENSG00000103479,0.003825641,0.33706192,TRUE,5.54E-05,TRUE,TRUE,FALSE,TRUE,RBL2
C01_55245981,ENSG00000172594,0.000485439,0.14090737,TRUE,0.021731861,TRUE,TRUE,FALSE,FALSE,SMPDL3A
C01_55335984,ENSG00000137804,0.029238388,0.381310553,TRUE,2.25E-14,TRUE,TRUE,FALSE,TRUE,NUSAP1
C01_55345985,ENSG00000176842,8.96E-05,0.091516508,FALSE,0.81047696,FALSE,FALSE,TRUE,FALSE,IRX5
C01_55355986,ENSG00000129007,0.000884225,0.168991764,TRUE,0.004991867,TRUE,TRUE,FALSE,TRUE,CALML4
C01_55365987,ENSG00000112576,0.000147122,0.125413895,FALSE,0.064878673,FALSE,FALSE,TRUE,FALSE,CCND3
C01_55375988,ENSG00000155393,0.000157082,0.196691289,TRUE,0.045468303,TRUE,TRUE,FALSE,FALSE,HEATR3
C01_55385989,ENSG00000183248,0.000838474,0.145535706,TRUE,0.179034108,FALSE,FALSE,TRUE,FALSE,PRR36
