Well,Plate,Variable,Main,WellPlate
B12,6722,FALSE,0,B12_6722
B11,6722,FALSE,0,B11_6722
B09,6722,FALSE,0,B09_6722
B08,6722,FALSE,0,B08_6722
B07,6722,FALSE,0,B07_6722
B06,6722,FALSE,0,B06_6722
B05,6722,FALSE,0,B05_6722
B04,6722,FALSE,0,B04_6722
B03,6722,FALSE,0,B03_6722
B02,6722,FALSE,0,B02_6722
C12,6722,FALSE,0,C12_6722
C11,6722,FALSE,0,C11_6722
C10,6722,FALSE,0,C10_6722
C09,6722,FALSE,0,C09_6722
C08,6722,FALSE,0,C08_6722
C07,6722,FALSE,0,C07_6722
C05,6722,FALSE,0,C05_6722
C04,6722,FALSE,0,C04_6722
C03,6722,FALSE,0,C03_6722
C02,6722,FALSE,0,C02_6722
C01,6722,FALSE,0,C01_6722
D12,6722,FALSE,0,D12_6722
D11,6722,FALSE,0,D11_6722
D10,6722,FALSE,0,D10_6722
D09,6722,FALSE,0,D09_6722
D08,6722,FALSE,0,D08_6722
D07,6722,FALSE,0,D07_6722
D06,6722,FALSE,0,D06_6722
D04,6722,FALSE,0,D04_6722
D03,6722,FALSE,0,D03_6722
D02,6722,FALSE,0,D02_6722
D01,6722,FALSE,0,D01_6722
E12,6722,FALSE,0,E12_6722
E11,6722,FALSE,0,E11_6722
E10,6722,FALSE,0,E10_6722
E08,6722,FALSE,0,E08_6722
E07,6722,FALSE,0,E07_6722
E06,6722,FALSE,0,E06_6722
E05,6722,FALSE,0,E05_6722
E03,6722,FALSE,0,E03_6722
E02,6722,FALSE,0,E02_6722
E01,6722,FALSE,0,E01_6722
F12,6722,FALSE,0,F12_6722
F11,6722,FALSE,0,F11_6722
F10,6722,FALSE,0,F10_6722
F09,6722,FALSE,0,F09_6722
F08,6722,FALSE,0,F08_6722
F07,6722,FALSE,0,F07_6722
F06,6722,FALSE,0,F06_6722
F05,6722,FALSE,0,F05_6722
F04,6722,FALSE,0,F04_6722
F02,6722,FALSE,0,F02_6722
F01,6722,FALSE,0,F01_6722
G12,6722,FALSE,0,G12_6722
G11,6722,FALSE,0,G11_6722
G10,6722,FALSE,0,G10_6722
G09,6722,FALSE,0,G09_6722
G08,6722,FALSE,0,G08_6722
G07,6722,FALSE,0,G07_6722
G06,6722,FALSE,0,G06_6722
G05,6722,FALSE,0,G05_6722
G04,6722,FALSE,0,G04_6722
G03,6722,FALSE,0,G03_6722
G02,6722,FALSE,0,G02_6722
G01,6722,FALSE,0,G01_6722
H12,6722,FALSE,0,H12_6722
H11,6722,FALSE,0,H11_6722
H10,6722,FALSE,0,H10_6722
H09,6722,FALSE,0,H09_6722
H08,6722,FALSE,0,H08_6722
H07,6722,FALSE,0,H07_6722
H06,6722,FALSE,0,H06_6722
H05,6722,FALSE,0,H05_6722
H04,6722,FALSE,0,H04_6722
H03,6722,FALSE,0,H03_6722
H02,6722,FALSE,0,H02_6722
H01,6722,FALSE,0,H01_6722
A12,6724,FALSE,0,A12_6724
A11,6724,FALSE,0,A11_6724
A10,6724,FALSE,0,A10_6724
A09,6724,FALSE,0,A09_6724
A08,6724,FALSE,0,A08_6724
A07,6724,FALSE,0,A07_6724
A06,6724,FALSE,0,A06_6724
A05,6724,FALSE,0,A05_6724
A04,6724,FALSE,0,A04_6724
A03,6724,FALSE,0,A03_6724
A02,6724,FALSE,0,A02_6724
A01,6724,FALSE,0,A01_6724
B11,6724,FALSE,0,B11_6724
B10,6724,FALSE,0,B10_6724
B08,6724,FALSE,0,B08_6724
B07,6724,FALSE,0,B07_6724
B06,6724,FALSE,0,B06_6724
B03,6724,FALSE,0,B03_6724
B01,6724,FALSE,0,B01_6724
C11,6724,FALSE,0,C11_6724
C10,6724,FALSE,0,C10_6724
C09,6724,FALSE,0,C09_6724
C08,6724,FALSE,0,C08_6724
C07,6724,FALSE,0,C07_6724
C06,6724,FALSE,0,C06_6724
C01,6724,FALSE,0,C01_6724
D11,6724,FALSE,0,D11_6724
D10,6724,FALSE,0,D10_6724
D09,6724,FALSE,0,D09_6724
D08,6724,FALSE,0,D08_6724
D07,6724,FALSE,0,D07_6724
D06,6724,FALSE,0,D06_6724
D05,6724,FALSE,0,D05_6724
E12,6724,FALSE,0,E12_6724
E11,6724,FALSE,0,E11_6724
E10,6724,FALSE,0,E10_6724
E07,6724,FALSE,0,E07_6724
E06,6724,FALSE,0,E06_6724
E05,6724,FALSE,0,E05_6724
E04,6724,FALSE,0,E04_6724
E03,6724,FALSE,0,E03_6724
E02,6724,FALSE,0,E02_6724
E01,6724,FALSE,0,E01_6724
F12,6724,FALSE,0,F12_6724
F11,6724,FALSE,0,F11_6724
F10,6724,FALSE,0,F10_6724
F09,6724,FALSE,0,F09_6724
F08,6724,FALSE,0,F08_6724
F07,6724,FALSE,0,F07_6724
F06,6724,FALSE,0,F06_6724
F05,6724,FALSE,0,F05_6724
F03,6724,FALSE,0,F03_6724
F02,6724,FALSE,0,F02_6724
G12,6724,FALSE,0,G12_6724
G11,6724,FALSE,0,G11_6724
G10,6724,FALSE,0,G10_6724
G09,6724,FALSE,0,G09_6724
G08,6724,FALSE,0,G08_6724
G06,6724,FALSE,0,G06_6724
G05,6724,FALSE,0,G05_6724
G03,6724,FALSE,0,G03_6724
G02,6724,FALSE,0,G02_6724
G01,6724,FALSE,0,G01_6724
H12,6724,FALSE,,H12_6724
