Well_Plate,Stage,StageAJC
K2_356,G2M,G1
K5_356,G2M,G1
K22_356,G2M,G1
K23_356,G2M,G1
L18_356,G2M,G1
A3_357,G2M,G1
A12_357,G2M,G1
A14_357,G2M,G1
B3_357,G2M,G1
B10_357,G2M,G1
B15_357,G2M,G1
C12_357,G2M,G1
D1_357,G2M,G1
D5_357,G2M,G1
D16_357,G2M,G1
D24_357,G2M,G1
E10_357,G2M,G1
E21_357,G2M,G1
F10_357,G2M,G1
F11_357,G2M,G1
F12_357,G2M,G1
F17_357,G2M,G1
G2_357,G2M,G1
G9_357,G2M,G1
G14_357,G2M,G1
G18_357,G2M,G1
H3_357,G2M,G1
H10_357,G2M,G1
H18_357,G2M,G1
I6_357,G2M,G1
I17_357,G2M,G1
I22_357,G2M,G1
I23_357,G2M,G1
J3_357,G2M,G1
J5_357,G2M,G1
J6_357,G2M,G1
J7_357,G2M,G1
J9_357,G2M,G1
K2_357,G2M,G1
K5_357,G2M,G1
K13_357,G2M,G1
K17_357,G2M,G1
L6_357,G2M,G1
L18_357,G2M,G1
L23_357,G2M,G1
M15_357,G2M,G1
M19_357,G2M,G1
M23_357,G2M,G1
M24_357,G2M,G1
A3_355,G2M,G2M
A6_355,G2M,G2M
A8_355,G2M,G2M
A10_355,G2M,G2M
A12_355,G2M,G2M
A13_355,G2M,G2M
A14_355,G2M,G2M
A19_355,G2M,G2M
A23_355,G2M,G2M
B1_355,G2M,G2M
B2_355,G2M,G2M
B3_355,G2M,G2M
B4_355,G2M,G2M
B10_355,G2M,G2M
B11_355,G2M,G2M
B15_355,G2M,G2M
B21_355,G2M,G2M
C4_355,G2M,G2M
C5_355,G2M,G2M
C7_355,G2M,G2M
C10_355,G2M,G2M
C11_355,G2M,G2M
C12_355,G2M,G2M
C14_355,G2M,G2M
C18_355,G2M,G2M
C19_355,G2M,G2M
C22_355,G2M,G2M
C23_355,G2M,G2M
D1_355,G2M,G2M
D4_355,G2M,G2M
D5_355,G2M,G2M
D6_355,G2M,G2M
D8_355,G2M,G2M
D13_355,G2M,G2M
D16_355,G2M,G2M
D22_355,G2M,G2M
D24_355,G2M,G2M
E10_355,G2M,G2M
E15_355,G2M,G2M
E18_355,G2M,G2M
E21_355,G2M,G2M
E22_355,G2M,G2M
F4_355,G2M,G2M
F6_355,G2M,G2M
F7_355,G2M,G2M
F9_355,G2M,G2M
F10_355,G2M,G2M
F11_355,G2M,G2M
F12_355,G2M,G2M
F15_355,G2M,G2M
F17_355,G2M,G2M
F19_355,G2M,G2M
