Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
C9JAB2_SRSF7	52.43	medium	0.64	TRUE	0.91
C9JAB9_NCK1	50.09	medium	0.48	TRUE	0.96
C9JAX1_FXN	52.24	medium	0.6	TRUE	0.97
C9JB13_BSDC1	49.23	medium	0.46	TRUE	1
C9JBB3_TFPI	52.67	medium	0.63	TRUE	0.94
C9JBG5_SIDT2	51.87	medium	0.55	TRUE	0.95
C9JBL1_SPCS1	54.96	stable	0.66	TRUE	0.84
C9JC99_TANGO2	51.94	medium	0.52	TRUE	1
C9JCC6_DRAP1	55.72	stable	0.68	TRUE	0.99
C9JDG0_DIAPH3	45.51	non-stable	0.34	TRUE	0.98
C9JE12_TMUB1	50.86	medium	0.51	TRUE	0.99
C9JE98_NCOR2	46.27	medium	0.37	TRUE	0.97
C9JEL3_EIF4E2	46.37	medium	0.35	TRUE	1
C9JFB2_YIPF1	54.34	stable	0.71	TRUE	0.94
C9JFE4_GPS1	51.57	medium	0.51	TRUE	0.97
C9JFR7_CYCS	50.3	medium	0.52	TRUE	0.89
C9JG41_ITM2C	51.79	medium	0.56	TRUE	0.98
C9JG63_SPRED2	48.66	medium	0.43	TRUE	0.99
C9JG97_AAMP	52.33	medium	0.53	TRUE	0.98
C9JGD4_GALNT10	48.2	medium	0.41	TRUE	0.99
C9JIF9_APEH	54.27	medium	0.59	TRUE	0.96
C9JIZ6_PSAP		non-melter	0.78	TRUE	0.74
C9JJN9_VPS8	47.15	medium	0.39	TRUE	0.99
C9JJV6_MYADM	50.76	medium	0.54	TRUE	0.91
C9JKC7_C7orf49	49.91	medium	0.51	TRUE	0.99
C9JKQ2_NDUFB3		non-melter	0.65	TRUE	0.72
C9JKQ7_GART	51.55	medium	0.5	TRUE	0.85
C9JLU1_POLR2H	47.68	medium	0.39	TRUE	1
C9JLV4_APAF1	48.31	medium	0.42	TRUE	0.97
C9JNE2_OARD1	48.51	medium	0.43	TRUE	0.99
C9JP00_MBNL1	51.91	medium	0.53	TRUE	0.97
C9JP16_CRTAP	48.3	medium	0.41	TRUE	0.97
C9JPL0_CCNL1	48.93	medium	0.42	TRUE	0.97
C9JPP2_NKIRAS2	45.67	non-stable	0.33	TRUE	1
C9JQ41_CCDC58	59.69	stable	0.7	TRUE	0.93
C9JQB1_NME6	58.33	stable	0.7	TRUE	0.97
C9JQV3_STK11IP	47.17	medium	0.38	TRUE	0.99
C9JR56_SATB2	44.84	non-stable	0.31	TRUE	1
C9JRY4_SEC22A	49.09	medium	0.43	TRUE	0.98
C9JRZ6_CHCHD3	47.38	medium	0.44	TRUE	0.98
C9JSG1_DPP8	51.74	medium	0.52	TRUE	0.98
C9JTX5_ACTB	51.97	medium	0.56	TRUE	0.92
C9JUP7_VCP	55.22	medium	0.6	TRUE	0.39
C9JV08_IFNAR1	49.07	medium	0.48	TRUE	1
C9JV54_TTC32		non-melter	0.77	TRUE	0.12
C9JVP0_FOXJ3	47.38	medium	0.37	TRUE	0.99
C9JVW0_PRR24	53.42	stable	0.66	TRUE	0.93
C9JXA7_LAMTOR4	55.27	stable	0.65	TRUE	0.96
C9JXB8_RPL24	51	medium	0.5	TRUE	0.97
C9JY06_NUDT22	50.69	medium	0.49	TRUE	1
C9JYD0_PCGF3	43.29	non-stable	0.27	TRUE	0.99
C9JYK5_BAG1	55.33	medium	0.64	TRUE	0.98
C9JYN0_SYPL1	52.86	medium	0.59	TRUE	0.92
C9JZB0_INPP5K	47.82	medium	0.4	TRUE	0.99
C9JZG2_GART	52.68	medium	0.55	TRUE	0.92
C9JZR4_ARFGAP3	50.2	medium	0.47	TRUE	1
C9JZY6_UBE2H	50.79	medium	0.49	TRUE	0.99
C9K0X5_SNUPN	47.01	medium	0.37	TRUE	1
D3DPN2_SDC3	58.89	stable	0.65	TRUE	0.75
D3DTZ5_SUPT4H1	48.98	medium	0.46	TRUE	0.99
D3DWC4_TMEM23	51.43	medium	0.51	TRUE	0.98
D3YTB1_RPL32	50.88	medium	0.49	TRUE	0.97
D3YTB5_IRAK1	42.6	non-stable	0.21	TRUE	1
D3YTG6_NDOR1	53.03	medium	0.55	TRUE	1
D3YTI9_TAPBP	48.76	medium	0.42	TRUE	0.95
D6R9P3_HNRNPAB	53.9	stable	0.68	TRUE	0.97
D6R9U7_POLR3G	53.06	medium	0.61	TRUE	0.95
D6R9Z7_COX7C	57.6	medium	0.64	TRUE	0.83
D6RAM3_DOK3	49.78	medium	0.47	TRUE	0.99
D6RAR3_TMEM161B	47.5	medium	0.4	TRUE	0.93
D6RBC9_NMU	49.43	medium	0.46	TRUE	0.99
D6RBS5_ELMOD2	51.67	medium	0.52	TRUE	1
D6RBW1_EIF4E	52.1	medium	0.53	TRUE	1
D6RCD0_HSD17B11	52.9	medium	0.56	TRUE	0.99
D6RCQ0_EEF1E1	45.95	non-stable	0.32	TRUE	0.98
D6RCQ8_PGM3	50.59	medium	0.48	TRUE	0.96
D6RD25_PRELID1	49.48	medium	0.43	TRUE	0.99
D6RDW9_IL2RG	52.61	medium	0.6	TRUE	0.97
D6REA0_PET112	46.7	medium	0.36	TRUE	1
D6REK2_TRIM41	48.51	medium	0.43	TRUE	0.97
D6REL0_CDC42SE2		non-melter	0.78	TRUE	0.22
D6REL5_FAM175A	51.05	medium	0.5	TRUE	0.98
D6REM4_CSNK1A1	48.13	medium	0.4	TRUE	0.99
D6REX3_SEC31A	47.42	medium	0.38	TRUE	0.99
D6REX9_CEP120	48.79	medium	0.42	TRUE	0.96
D6RF48_STX18	47.58	medium	0.37	TRUE	0.99
D6RFG8_DCK	55.59	medium	0.63	TRUE	1
D6RFH4_CYB5B	54.1	stable	0.72	TRUE	0.57
D6RGI3_SEPT11	52.81	medium	0.56	TRUE	0.98
D6RGJ7_SLC9B2	53.73	medium	0.58	TRUE	0.98
D6RGK9_CNOT6L	45.88	medium	0.35	TRUE	0.94
D6RHD3_CENPK	46.44	medium	0.39	TRUE	1
D6RHI7_CCNH	51.74	medium	0.51	TRUE	0.99
D6RHI9_RNASET2	55.23	stable	0.65	TRUE	0.97
D6RIE3_COX7A2	50.56	medium	0.55	TRUE	0.95
D6RIU2_CLDND1	56.38	stable	0.67	TRUE	0.83
D6RIZ4_MFSD10	53.99	medium	0.58	TRUE	0.98
D6RJ07_ZNF346	49.91	medium	0.47	TRUE	0.99
D6RJ90_COMMD10	52.3	medium	0.53	TRUE	0.97
E2QRD0_VWA8	48.58	medium	0.4	TRUE	0.97
E2QRF9_GMNN		non-melter	0.79	TRUE	0.7
E5RFJ1_NSMCE2	48	medium	0.42	TRUE	0.99
