Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
SSR4	52.53	medium	53.15	0.57	TRUE	0.98
SSRP1	47.01	medium	46.59	0.37	TRUE	0.94
SSSCA1		non-melter		0.87	TRUE	0.07
SSU72	48.23	medium	47.79	0.46	TRUE	0.98
ST13	50.3	medium	50.07	0.45	TRUE	1
ST3GAL4	51.07	medium	51.09	0.53	TRUE	0.98
ST3GAL6	50.86	medium	50.79	0.52	TRUE	1
ST6GAL1	50.55	medium	50.38	0.49	TRUE	0.98
STAG1	50.45	medium	50.26	0.47	TRUE	0.99
STAG2	50.61	medium	50.43	0.47	TRUE	0.99
STAM	50.43	medium	50.23	0.46	TRUE	0.99
STAM2	49.37	medium	49.03	0.43	TRUE	1
STAMBP	46.97	medium	46.57	0.36	TRUE	1
STAP2	47.67	medium	47.24	0.37	TRUE	1
STARD10	48.76	medium	48.35	0.4	TRUE	1
STARD3	50.02	medium	49.73	0.5	TRUE	0.98
STARD3NL	50.9	medium	50.84	0.61	TRUE	0.91
STARD7	50.05	medium	49.77	0.45	TRUE	1
STAT1	46.17	non-stable	45.81	0.34	TRUE	1
STAT2	45.93	non-stable	45.52	0.33	TRUE	1
STAT3	46.62	non-stable	46.26	0.34	TRUE	1
STAT5B	46.14	non-stable	45.78	0.34	TRUE	1
STAT6	46.89	non-stable	46.5	0.34	TRUE	1
STAU1	50.54	medium	50.37	0.5	TRUE	0.95
STAU2	48.78	medium	48.38	0.43	TRUE	0.99
STBD1	47.43	medium	46.99	0.38	TRUE	1
STEAP2	50.69	medium	50.55	0.51	TRUE	0.98
STEAP3	51.51	medium	51.69	0.51	TRUE	1
STIL	44.71	non-stable	44.43	0.28	TRUE	0.99
STIM1	50.46	medium	50.28	0.48	TRUE	1
STIP1	49.76	medium	49.43	0.47	TRUE	0.99
STK11	51.4	medium	51.51	0.58	TRUE	0.9
STK11IP	49.07	medium	48.7	0.44	TRUE	0.99
STK24	50.25	medium	50.01	0.46	TRUE	1
STK25	48.64	medium	48.23	0.41	TRUE	1
STK3	50.67	medium	50.52	0.49	TRUE	0.99
STK35	49.97	medium	49.66	0.45	TRUE	1
STK38	47.06	medium	46.63	0.37	TRUE	0.99
STK39	45.5	non-stable	45.13	0.3	TRUE	1
STK4	49.93	medium	49.6	0.47	TRUE	0.99
STMN1		non-melter		0.86	TRUE	0.14
STMN3		non-melter		0.72	TRUE	0.12
STOM		non-melter		0.79	TRUE	0.59
STOML2	50.49	stable	50.31	0.7	TRUE	0.79
STON2	47.87	medium	47.43	0.38	TRUE	0.99
STRADB	50.53	medium	50.35	0.49	TRUE	0.98
STRAP	48.99	medium	48.59	0.43	TRUE	1
STRBP	48.3	medium	47.88	0.41	TRUE	0.99
STRN	50.33	medium	50.12	0.45	TRUE	1
STRN3	50.2	medium	49.95	0.46	TRUE	1
STRN4	48.95	medium	48.56	0.41	TRUE	1
STT3A	51.31	medium	51.39	0.52	TRUE	0.99
STT3B	51.51	medium	51.68	0.53	TRUE	1
STUB1	46.29	non-stable	45.94	0.33	TRUE	1
STX10	50.32	medium	50.11	0.54	TRUE	0.96
STX12	52.69	stable	53.39	0.69	TRUE	0.7
STX17	48.86	medium	48.47	0.45	TRUE	0.99
STX18	48.99	medium	48.59	0.41	TRUE	1
STX2	50.51	medium	50.33	0.5	TRUE	1
STX3	49.54	medium	49.2	0.5	TRUE	0.98
STX4	49.19	medium	48.85	0.44	TRUE	1
STX5	48.59	medium	48.19	0.39	TRUE	1
STX6	51.05	medium	51.06	0.54	TRUE	1
STX7		non-melter		0.74	TRUE	0.53
STX8		non-melter		0.84	TRUE	0.1
STXBP1	48.31	medium	47.89	0.42	TRUE	0.99
STXBP2	47.54	medium	47.11	0.37	TRUE	1
STXBP3	47.99	medium	47.55	0.38	TRUE	1
STXBP4	44.41	non-stable	44.15	0.27	TRUE	0.99
STXBP5	50.82	medium	50.74	0.48	TRUE	0.99
STXBP6	48.04	medium	47.61	0.38	TRUE	1
SUB1	51.75	medium	52.02	0.56	TRUE	1
SUCLA2	48.59	medium	48.18	0.4	TRUE	1
SUCLG1	49.64	medium	49.31	0.43	TRUE	1
SUCLG2	50.65	medium	50.51	0.47	TRUE	1
SUDS3	44.79	non-stable	44.51	0.28	TRUE	0.99
SUGT1	50.37	medium	50.16	0.46	TRUE	1
SULF2	51.72	medium	51.99	0.61	TRUE	0.96
SULT1A1	48.59	medium	48.19	0.4	TRUE	1
SULT1A3	47.82	medium	47.37	0.37	TRUE	1
SULT1C2	48.44	medium	48.03	0.42	TRUE	0.99
SULT2A1	47.72	medium	47.29	0.37	TRUE	0.97
SUMF1	51.87	medium	52.22	0.6	TRUE	0.99
SUMF2	50.36	medium	50.15	0.51	TRUE	1
SUMO1	48.79	medium	48.38	0.5	TRUE	0.96
SUMO2	51.92	stable	52.28	0.66	TRUE	0.71
SUOX	50.98	medium	50.95	0.56	TRUE	0.99
SUPT16H	47.02	medium	46.6	0.36	TRUE	0.98
SUPT3H	45.61	non-stable	45.22	0.31	TRUE	1
SUPT5H	49.13	medium	48.78	0.42	TRUE	1
SUPT6H	47.59	medium	47.16	0.37	TRUE	0.98
SUPV3L1	49.25	medium	48.91	0.42	TRUE	1
SURF1	50.16	medium	49.91	0.46	TRUE	1
SURF2	49.34	medium	49.01	0.49	TRUE	0.98
SURF4	50.48	stable	50.3	0.68	TRUE	0.92
SURF6	53.09	medium	54.54	0.61	TRUE	0.76
SUSD2		non-melter		0.75	TRUE	0.41
SUZ12	46.79	non-stable	46.41	0.35	TRUE	1
SVIL	50.62	medium	50.46	0.5	TRUE	0.99
SVIP	52.38	stable	52.95	0.68	TRUE	0.63
SWAP70	50.86	medium	50.79	0.48	TRUE	1
SYAP1	51.01	medium	50.99	0.48	TRUE	0.99
SYF2		non-melter		0.67	TRUE	0.44
SYMPK	45.74	non-stable	45.34	0.3	TRUE	0.98
SYN3	48.42	medium	48.01	0.43	TRUE	0.99
SYNCRIP	49.8	medium	49.47	0.44	TRUE	0.99
SYNE2	44.06	non-stable	43.8	0.27	TRUE	0.99
SYNGR2		non-melter		0.89	TRUE	0.01
SYNJ1	49.18	medium	48.83	0.44	TRUE	0.99
SYNJ2	47.31	medium	46.85	0.36	TRUE	0.99
SYNJ2BP	49.38	medium	49.05	0.46	TRUE	0.99
SYPL1		non-melter		0.81	TRUE	0.14
SYVN1	50.46	medium	50.28	0.56	TRUE	0.96
TACC1	50.54	medium	50.37	0.5	TRUE	0.99
TACC2	50.68	medium	50.53	0.58	TRUE	0.93
TACC3	50.7	medium	50.57	0.64	TRUE	0.68
TADA1L	46.83	medium	46.44	0.37	TRUE	0.99
TADA2B	44.5	non-stable	44.23	0.29	TRUE	0.99
TADA2L	44.36	non-stable	44.05	0.27	TRUE	1
TADA3L	47.54	medium	47.11	0.38	TRUE	0.98
TAF1	43.92	non-stable	43.63	0.25	TRUE	0.98
TAF10	49.96	medium	49.65	0.59	TRUE	0.77
TAF12	45.99	non-stable	45.59	0.34	TRUE	0.99
TAF15	49.92	medium	49.6	0.53	TRUE	0.93
TAF1C	49.03	medium	48.65	0.41	TRUE	1
TAF2	46.89	non-stable	46.5	0.35	TRUE	0.96
TAF3	46.81	medium	46.43	0.36	TRUE	0.97
TAF4	45.71	non-stable	45.31	0.32	TRUE	0.97
TAF5	45.61	non-stable	45.22	0.3	TRUE	0.99
TAF5L	44.91	non-stable	44.6	0.29	TRUE	1
TAF6	45.59	non-stable	45.19	0.3	TRUE	0.99
TAF7	47.97	medium	47.53	0.46	TRUE	0.97
TAF8	47.45	medium	47.01	0.39	TRUE	0.98
TAF9	46.74	medium	46.37	0.44	TRUE	0.93
TAF9B	46.41	medium	46.05	0.46	TRUE	0.84
TAGLN	49.63	medium	49.3	0.45	TRUE	1
TAGLN2	49.98	medium	49.68	0.48	TRUE	0.99
TALDO1	51.22	medium	51.28	0.55	TRUE	0.98
TANC1	48.09	medium	47.66	0.39	TRUE	0.99
TANK	47.47	medium	47.03	0.48	TRUE	0.94
TAOK1	49.99	medium	49.69	0.44	TRUE	0.99
TAOK2	46.84	non-stable	46.46	0.35	TRUE	0.99
TAOK3	49.68	medium	49.35	0.43	TRUE	1
TAP1	47.75	medium	47.32	0.38	TRUE	1
TAP2	48.41	medium	48	0.41	TRUE	1
TAPBP	50.46	medium	50.27	0.5	TRUE	1
TAPBPL	51.96	medium	52.34	0.56	TRUE	0.99
TAPT1	52.09	stable	52.51	0.7	TRUE	0.87
TARBP1	50.43	medium	50.24	0.47	TRUE	0.99
TARBP2	48.75	medium	48.35	0.42	TRUE	1
TARDBP	43.97	non-stable	43.69	0.25	TRUE	1
TARS	50.71	medium	50.58	0.47	TRUE	1
TARS2	48.77	medium	48.37	0.41	TRUE	1
TARSL2	47.91	medium	47.46	0.39	TRUE	0.99
TATDN1	51.51	medium	51.69	0.63	TRUE	0.9
TATDN2		non-melter		0.76	TRUE	0.22
TAX1BP1	48.91	medium	48.52	0.44	TRUE	0.99
TAX1BP3	46.04	non-stable	45.66	0.31	TRUE	1
TBC1D10A	47.76	medium	47.32	0.39	TRUE	1
TBC1D10B	50.12	medium	49.85	0.46	TRUE	1
TBC1D13	51.71	medium	51.96	0.51	TRUE	1
TBC1D15	48.56	medium	48.15	0.4	TRUE	1
TBC1D2	48.22	medium	47.79	0.4	TRUE	0.99
TBC1D20	49.26	medium	48.93	0.43	TRUE	1
TBC1D22A	50.84	medium	50.76	0.51	TRUE	1
TBC1D22B	49.33	medium	49	0.42	TRUE	0.99
TBC1D23	48.61	medium	48.2	0.4	TRUE	1
TBC1D24	50.78	medium	50.69	0.48	TRUE	1
TBC1D2B	46.23	non-stable	45.87	0.33	TRUE	0.98
TBC1D4	49.26	medium	48.92	0.42	TRUE	0.99
TBC1D5	48.28	medium	47.86	0.39	TRUE	1
TBC1D7	47.3	medium	46.84	0.36	TRUE	1
TBC1D8B	50.64	medium	50.48	0.54	TRUE	0.98
TBC1D9B	47.94	medium	47.49	0.37	TRUE	0.98
TBCA		non-melter		0.77	TRUE	0.42
TBCB	48.58	medium	48.18	0.4	TRUE	1
TBCC	50.44	medium	50.25	0.46	TRUE	0.99
TBCD	48.43	medium	48.03	0.39	TRUE	0.99
TBCE	46.71	non-stable	46.36	0.34	TRUE	1
TBCEL	46.73	medium	46.37	0.35	TRUE	0.99
TBK1	47.34	medium	46.89	0.37	TRUE	1
TBL1X	47.2	medium	46.75	0.44	TRUE	0.93
TBL1XR1	48.2	medium	47.77	0.43	TRUE	0.99
TBL2	49.76	medium	49.43	0.45	TRUE	0.98
TBL3	47.19	medium	46.74	0.38	TRUE	0.98
TBP	46.05	medium	45.67	0.4	TRUE	0.96
TBPL1	47.23	medium	46.77	0.36	TRUE	1
TBRG4	46.41	non-stable	46.04	0.33	TRUE	1
TBX3	44.36	non-stable	44.08	0.29	TRUE	0.99
TCEA1	50.27	medium	50.04	0.5	TRUE	0.99
TCEA2	48.5	medium	48.1	0.44	TRUE	0.98
TCEA3	49.18	medium	48.83	0.42	TRUE	1
TCEAL1	50.35	medium	50.14	0.59	TRUE	0.78
TCEAL4	51.8	medium	52.11	0.65	TRUE	0.42
TCEB1	49.9	medium	49.58	0.44	TRUE	0.99
TCEB2	49.99	medium	49.69	0.45	TRUE	0.99
TCERG1	47.26	medium	46.8	0.36	TRUE	0.97
TCF20	49.09	medium	48.72	0.55	TRUE	0.86
TCF25	47.92	medium	47.48	0.39	TRUE	1
TCF3	46.5	medium	46.15	0.35	TRUE	1
TCIRG1	51.44	medium	51.57	0.63	TRUE	0.93
TCOF1		non-melter		0.82	TRUE	0.3
TCP1	51.76	medium	52.03	0.51	TRUE	1
TCP10L	46.23	medium	45.87	0.35	TRUE	1
TCP11L1	47.71	medium	47.28	0.38	TRUE	1
TDP1	46.45	non-stable	46.1	0.33	TRUE	1
TDRD7	46.55	non-stable	46.2	0.33	TRUE	0.99
TEAD1	45.54	non-stable	45.16	0.31	TRUE	1
TEAD3	43.71	non-stable	43.45	0.24	TRUE	1
TEAD4	45.6	non-stable	45.21	0.31	TRUE	0.99
TELO2	46.6	non-stable	46.24	0.34	TRUE	1
TERF2	47.52	medium	47.09	0.37	TRUE	0.99
TERF2IP	47.87	medium	47.43	0.39	TRUE	0.99
TES	51.16	medium	51.2	0.49	TRUE	1
TESC	48.82	medium	48.41	0.44	TRUE	0.99
TEX10	46.15	non-stable	45.79	0.34	TRUE	0.99
TEX2	48.73	medium	48.32	0.42	TRUE	0.99
TEX264	49.01	medium	48.62	0.44	TRUE	0.99
TF		non-melter		0.74	TRUE	0.48
TFAM	50.91	medium	50.85	0.57	TRUE	0.95
TFAP4	47.64	medium	47.22	0.45	TRUE	0.95
TFB1M	49.91	medium	49.59	0.45	TRUE	0.99
