Well,Plate,Variable,Main
H07,6720,FALSE,0
H06,6720,FALSE,0
H04,6720,FALSE,0
H03,6720,FALSE,0
H01,6720,FALSE,0
A12,6721,FALSE,0
A11,6721,FALSE,0
A10,6721,FALSE,0
A09,6721,FALSE,0
A08,6721,FALSE,0
A07,6721,FALSE,0
A06,6721,FALSE,0
A05,6721,FALSE,0
A04,6721,FALSE,0
A03,6721,FALSE,0
A02,6721,FALSE,0
A01,6721,FALSE,0
B12,6721,FALSE,0
B10,6721,FALSE,0
B09,6721,FALSE,0
B08,6721,FALSE,0
B07,6721,FALSE,0
B06,6721,FALSE,0
B05,6721,FALSE,0
B04,6721,FALSE,0
B03,6721,FALSE,0
B02,6721,FALSE,0
B01,6721,FALSE,0
C12,6721,FALSE,0
C11,6721,FALSE,0
C10,6721,FALSE,0
C09,6721,FALSE,0
C08,6721,FALSE,0
C07,6721,FALSE,0
C06,6721,FALSE,0
C05,6721,FALSE,0
C04,6721,FALSE,0
C03,6721,FALSE,0
C02,6721,FALSE,0
C01,6721,FALSE,0
D12,6721,FALSE,0
D11,6721,FALSE,0
D10,6721,FALSE,0
D09,6721,FALSE,0
D08,6721,FALSE,0
D07,6721,FALSE,0
D06,6721,FALSE,0
D05,6721,FALSE,0
D04,6721,FALSE,0
D03,6721,FALSE,0
D02,6721,FALSE,0
D01,6721,FALSE,0
E12,6721,FALSE,0
E11,6721,FALSE,0
E10,6721,FALSE,0
E09,6721,FALSE,0
E08,6721,FALSE,0
E07,6721,FALSE,0
E06,6721,FALSE,0
E05,6721,FALSE,0
E04,6721,FALSE,0
E03,6721,FALSE,0
E02,6721,FALSE,0
F12,6721,FALSE,0
F11,6721,FALSE,0
F10,6721,FALSE,0
F09,6721,FALSE,0
F08,6721,FALSE,0
F07,6721,FALSE,0
F06,6721,FALSE,0
F05,6721,FALSE,0
F04,6721,FALSE,0
F03,6721,FALSE,0
F02,6721,FALSE,0
F01,6721,FALSE,0
G12,6721,FALSE,0
G11,6721,FALSE,0
G10,6721,FALSE,0
G09,6721,FALSE,0
G08,6721,FALSE,0
G07,6721,FALSE,0
G06,6721,FALSE,0
G05,6721,FALSE,0
G04,6721,FALSE,0
G03,6721,FALSE,0
G02,6721,FALSE,0
G01,6721,FALSE,0
H12,6721,FALSE,0
H10,6721,FALSE,0
H09,6721,FALSE,0
H08,6721,FALSE,0
H07,6721,FALSE,0
H06,6721,FALSE,0
H05,6721,FALSE,0
H04,6721,FALSE,0
H03,6721,FALSE,0
H02,6721,FALSE,0
H01,6721,FALSE,0
A12,6722,FALSE,0
A11,6722,FALSE,0
A09,6722,FALSE,0
A08,6722,FALSE,0
A07,6722,FALSE,0
A06,6722,FALSE,0
A05,6722,FALSE,0
A04,6722,FALSE,0
A03,6722,FALSE,0
A02,6722,FALSE,0
A01,6722,FALSE,0
B12,6722,FALSE,0
B11,6722,FALSE,0
B09,6722,FALSE,0
B08,6722,FALSE,0
B07,6722,FALSE,0
B06,6722,FALSE,0
B05,6722,FALSE,0
B04,6722,FALSE,0
B03,6722,FALSE,0
B02,6722,FALSE,0
C12,6722,FALSE,0
C11,6722,FALSE,0
C10,6722,FALSE,0
C09,6722,FALSE,0
C08,6722,FALSE,0
C07,6722,FALSE,0
C05,6722,FALSE,0
C04,6722,FALSE,0
C03,6722,FALSE,0
C02,6722,FALSE,0
C01,6722,FALSE,0
D12,6722,FALSE,0
D11,6722,FALSE,0
D10,6722,FALSE,0
D09,6722,FALSE,0
D08,6722,FALSE,0
D07,6722,FALSE,0
D06,6722,FALSE,0
D04,6722,FALSE,0
D03,6722,FALSE,0
D02,6722,FALSE,0
D01,6722,FALSE,0
E12,6722,FALSE,0
E11,6722,FALSE,0
E10,6722,FALSE,0
E08,6722,FALSE,0
E07,6722,FALSE,0
E06,6722,FALSE,0
E05,6722,FALSE,0
E03,6722,FALSE,0
E02,6722,FALSE,0
E01,6722,FALSE,0
F12,6722,FALSE,0
F11,6722,FALSE,0
F10,6722,FALSE,0
F09,6722,FALSE,0
F08,6722,FALSE,0
F07,6722,FALSE,0
F06,6722,FALSE,0
F05,6722,FALSE,0
F04,6722,FALSE,0
F02,6722,FALSE,0
F01,6722,FALSE,0
G12,6722,FALSE,0
G11,6722,FALSE,0
G10,6722,FALSE,0
G09,6722,FALSE,0
G08,6722,FALSE,0
G07,6722,FALSE,0
G06,6722,FALSE,0
G05,6722,FALSE,0
G04,6722,FALSE,0
G03,6722,FALSE,0
G02,6722,FALSE,0
G01,6722,FALSE,0
H12,6722,FALSE,0
